sweeps,beta,magnetisation,energy,G,seed
456,0.4,0.1275,-2.015,0.48,0
457,0.4,0.165,-2.135,0.5475,0
458,0.4,0.19625,-2.185,0.5525,0
459,0.4,0.16125,-2.295,0.5825,0
460,0.4,0.17125,-2.415,0.61,0
461,0.4,0.11375,-2.35,0.5975,0
462,0.4,0.06375,-2.33,0.6,0
463,0.4,0.05625,-2.345,0.585,0
464,0.4,0.07125,-2.34,0.5725,0
465,0.4,0.05875,-2.305,0.5825,0
466,0.4,0.0525,-2.24,0.5575,0
467,0.4,0.045,-2.24,0.5525,0
468,0.4,0.025,-2.2,0.53,0
469,0.4,0.0375,-2.235,0.555,0
470,0.4,0.04,-2.27,0.5725,0
471,0.4,0.04,-2.29,0.57,0
472,0.4,0.01625,-2.235,0.5675,0
473,0.4,0.04875,-2.24,0.525,0
474,0.4,0.05125,-2.145,0.555,0
475,0.4,0.05,-2.125,0.5075,0
476,0.4,0.04625,-2.015,0.505,0
477,0.4,0.1025,-2.1,0.5225,0
478,0.4,0.1275,-2.115,0.525,0
479,0.4,0.195,-2.25,0.5675,0
480,0.4,0.22125,-2.13,0.525,0
481,0.4,0.2325,-2.045,0.5175,0
482,0.4,0.205,-2.1,0.5325,0
483,0.4,0.175,-1.96,0.495,0
484,0.4,0.18375,-1.95,0.4775,0
485,0.4,0.1725,-2.115,0.545,0
486,0.4,0.15875,-2.17,0.5375,0
487,0.4,0.15875,-2.29,0.555,0
488,0.4,0.11875,-2.245,0.5575,0
489,0.4,0.1125,-2.255,0.56,0
490,0.4,0.0925,-2.11,0.535,0
491,0.4,0.0625,-2.075,0.5375,0
492,0.4,0.0625,-2.16,0.5275,0
493,0.4,0.1075,-2.115,0.52,0
494,0.4,0.11875,-2.205,0.5625,0
495,0.4,0.115,-2.265,0.5625,0
496,0.4,0.11375,-2.21,0.5575,0
497,0.4,0.10125,-2.35,0.5925,0
498,0.4,0.08,-2.27,0.5625,0
499,0.4,0.07875,-2.285,0.55,0
500,0.4,0.08625,-2.21,0.5625,0
501,0.4,0.09875,-2.11,0.5375,0
502,0.4,0.045,-2.145,0.535,0
503,0.4,0.03375,-2.14,0.5475,0
504,0.4,0.0575,-2.115,0.5275,0
505,0.4,0.0475,-2.19,0.57,0
506,0.4,0.06375,-2.19,0.5675,0
507,0.4,0.02625,-2.32,0.5825,0
508,0.4,0.0275,-2.22,0.57,0
509,0.4,0.06,-2.245,0.565,0
510,0.4,0.08375,-2.255,0.57,0
511,0.4,0.10375,-2.2,0.555,0
512,0.4,0.09125,-2.21,0.555,0
513,0.4,0.06875,-2.115,0.53,0
514,0.4,0.0375,-2.1,0.5375,0
515,0.4,0.01375,-2.295,0.5775,0
516,0.4,0.00375,-2.24,0.565,0
517,0.4,-0.00375,-2.195,0.5475,0
518,0.4,-0.02875,-2.125,0.5475,0
519,0.4,-0.025,-2.11,0.5175,0
520,0.4,-0.05875,-2.06,0.5125,0
521,0.4,-0.02875,-2.055,0.5175,0
522,0.4,-0.01125,-2.23,0.5775,0
523,0.4,-0.04375,-2.135,0.5425,0
