sweeps,magnetisation,seed
0,-1,93
1,-0.76875,93
2,-0.56875,93
3,-0.4425,93
4,-0.3575,93
5,-0.29375,93
6,-0.22875,93
7,-0.1175,93
8,-0.08,93
9,-0.01375,93
10,-0.0125,93
