sweeps,magnetisation,seed
0,-1,97
1,-0.7225,97
2,-0.52375,97
3,-0.325,97
4,-0.23,97
5,-0.13875,97
6,-0.13375,97
7,-0.08125,97
8,-0.03125,97
9,0.0025,97
10,-0.0125,97
