sweeps,beta,magnetisation,seed
0,0.25,1,8
1,0.25,0.74125,8
2,0.25,0.5425,8
3,0.25,0.4375,8
4,0.25,0.3275,8
5,0.25,0.28375,8
6,0.25,0.1825,8
7,0.25,0.17125,8
8,0.25,0.0675,8
9,0.25,0.045,8
10,0.25,0.05625,8
11,0.25,0.065,8
12,0.25,0.065,8
13,0.25,0.08375,8
14,0.25,0.07,8
15,0.25,0.105,8
16,0.25,0.13625,8
17,0.25,0.13625,8
18,0.25,0.0925,8
19,0.25,0.015,8
20,0.25,0.0275,8
