sweeps,magnetisation,seed
0,-1,32
1,-0.77625,32
2,-0.5875,32
3,-0.43875,32
4,-0.36,32
5,-0.2675,32
6,-0.19125,32
7,-0.1225,32
8,-0.11375,32
9,-0.11375,32
10,-0.0775,32
