sweeps,magnetisation,seed
0,-1,78
1,-0.77375,78
2,-0.54625,78
3,-0.35625,78
4,-0.28125,78
5,-0.2,78
6,-0.1325,78
7,-0.15625,78
8,-0.17,78
9,-0.195,78
10,-0.10875,78
