sweeps,magnetisation,seed
0,-1,10
1,-0.77875,10
2,-0.62,10
3,-0.44625,10
4,-0.32125,10
5,-0.24375,10
6,-0.1175,10
7,-0.115,10
8,-0.1275,10
9,-0.06625,10
10,-0.07625,10
