sweeps,magnetisation,seed
0,-1,16
1,-0.75125,16
2,-0.62625,16
3,-0.42875,16
4,-0.2925,16
5,-0.2175,16
6,-0.20375,16
7,-0.115,16
8,-0.0625,16
9,-0.04,16
10,-0.05125,16
