sweeps,magnetisation,seed
0,-1,64
1,-0.74625,64
2,-0.55875,64
3,-0.42375,64
4,-0.32875,64
5,-0.26375,64
6,-0.2475,64
7,-0.18375,64
8,-0.12875,64
9,-0.0875,64
10,-0.08875,64
