sweeps,magnetisation,seed
0,-1,26
1,-0.735,26
2,-0.5425,26
3,-0.4175,26
4,-0.28375,26
5,-0.2275,26
6,-0.15625,26
7,-0.125,26
8,-0.0675,26
9,-0.08875,26
10,-0.09375,26
