sweeps,magnetisation,seed
0,-1,81
1,-0.76125,81
2,-0.6075,81
3,-0.505,81
4,-0.37375,81
5,-0.26,81
6,-0.1875,81
7,-0.16875,81
8,-0.1325,81
9,-0.15,81
10,-0.09875,81
