sweeps,magnetisation,seed
0,-1,60
1,-0.735,60
2,-0.5225,60
3,-0.43875,60
4,-0.33875,60
5,-0.28625,60
6,-0.18,60
7,-0.12875,60
8,-0.07625,60
9,-0.035,60
10,-0.05625,60
