sweeps,beta,magnetisation,seed
0,0.25,1,6
1,0.25,0.75625,6
2,0.25,0.5875,6
3,0.25,0.425,6
4,0.25,0.3725,6
5,0.25,0.29125,6
6,0.25,0.19875,6
7,0.25,0.165,6
8,0.25,0.22,6
9,0.25,0.15,6
10,0.25,0.085,6
11,0.25,0.06375,6
12,0.25,0.09375,6
13,0.25,0.055,6
14,0.25,0.03125,6
15,0.25,-0.0325,6
16,0.25,0.06875,6
17,0.25,-0.02375,6
18,0.25,-0.0325,6
19,0.25,0.0175,6
20,0.25,0.03375,6
