sweeps,beta,magnetisation,seed
0,0.25,1,5
1,0.25,0.78125,5
2,0.25,0.59,5
3,0.25,0.45,5
4,0.25,0.3275,5
5,0.25,0.25125,5
6,0.25,0.2225,5
7,0.25,0.14125,5
8,0.25,0.07125,5
9,0.25,0.02375,5
10,0.25,0.03125,5
11,0.25,0.0125,5
12,0.25,0.04375,5
13,0.25,0.0575,5
14,0.25,0.09,5
15,0.25,0.0825,5
16,0.25,0.1075,5
17,0.25,0.09,5
18,0.25,0.01875,5
19,0.25,0.02875,5
20,0.25,0.0175,5
