sweeps,magnetisation,seed
0,-1,35
1,-0.76375,35
2,-0.55375,35
3,-0.395,35
4,-0.2875,35
5,-0.23625,35
6,-0.11875,35
7,-0.10875,35
8,-0.08375,35
9,-0.06875,35
10,-0.0475,35
