sweeps,magnetisation,seed
0,-1,18
1,-0.755,18
2,-0.555,18
3,-0.36,18
4,-0.3275,18
5,-0.2725,18
6,-0.24625,18
7,-0.17,18
8,-0.1275,18
9,-0.1325,18
10,-0.0975,18
