sweeps,magnetisation,seed
0,-1,92
1,-0.75875,92
2,-0.545,92
3,-0.46875,92
4,-0.36875,92
5,-0.2675,92
6,-0.1075,92
7,-0.1075,92
8,-0.04875,92
9,-0.02375,92
10,0.005,92
