sweeps,magnetisation,seed
0,-1,61
1,-0.76875,61
2,-0.605,61
3,-0.44625,61
4,-0.35375,61
5,-0.25625,61
6,-0.20875,61
7,-0.09625,61
8,-0.07625,61
9,-0.09125,61
10,-0.0425,61
