sweeps,magnetisation,seed
0,-1,65
1,-0.73125,65
2,-0.51375,65
3,-0.41375,65
4,-0.30125,65
5,-0.175,65
6,-0.1075,65
7,-0.11875,65
8,-0.05,65
9,-0.065,65
10,-0.0525,65
