sweeps,magnetisation,seed
0,-1,19
1,-0.73375,19
2,-0.51625,19
3,-0.44125,19
4,-0.36375,19
5,-0.2725,19
6,-0.24,19
7,-0.18625,19
8,-0.21125,19
9,-0.165,19
10,-0.09625,19
