sweeps,beta,magnetisation,seed
0,0.25,1,7
1,0.25,0.76875,7
2,0.25,0.58375,7
3,0.25,0.43875,7
4,0.25,0.31125,7
5,0.25,0.245,7
6,0.25,0.2725,7
7,0.25,0.18375,7
8,0.25,0.11625,7
9,0.25,0.16875,7
10,0.25,0.16375,7
11,0.25,0.11375,7
12,0.25,0.0625,7
13,0.25,0.0675,7
14,0.25,0.0475,7
15,0.25,0.07125,7
16,0.25,0.0775,7
17,0.25,0.025,7
18,0.25,0.02875,7
19,0.25,-0.0475,7
20,0.25,-0.0275,7
