sweeps,magnetisation,seed
0,-1,23
1,-0.7625,23
2,-0.56625,23
3,-0.44625,23
4,-0.31125,23
5,-0.23875,23
6,-0.19125,23
7,-0.13125,23
8,-0.06,23
9,-0.06875,23
10,-0.05875,23
