sweeps,magnetisation,seed
0,-1,83
1,-0.74,83
2,-0.57875,83
3,-0.42,83
4,-0.31,83
5,-0.195,83
6,-0.17625,83
7,-0.115,83
8,-0.1075,83
9,-0.08875,83
10,-0.0525,83
