sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.35,1,-4,1,0,13
1,0.35,0.89,-3.27,0.79,0,13
2,0.35,0.78625,-2.71,0.61,0,13
3,0.35,0.73375,-2.61,0.52,0,13
4,0.35,0.6525,-2.305,0.435,0,13
5,0.35,0.60375,-2.17,0.36,0,13
6,0.35,0.5725,-2.29,0.315,0,13
7,0.35,0.52875,-2.13,0.2525,0,13
8,0.35,0.43625,-2.04,0.1775,0,13
9,0.35,0.42875,-2.045,0.165,0,13
10,0.35,0.34875,-1.705,0.1175,0,13
11,0.35,0.32125,-1.79,0.0975,0,13
12,0.35,0.26625,-1.67,0.0625,0,13
13,0.35,0.25625,-1.79,0.065,0,13
14,0.35,0.23875,-1.77,0.04,0,13
15,0.35,0.28625,-1.815,0.07,0,13
16,0.35,0.2725,-1.745,0.0925,0,13
17,0.35,0.19,-1.69,0.0425,0,13
18,0.35,0.20375,-1.695,0.055,0,13
19,0.35,0.17625,-1.67,0.065,0,13
20,0.35,0.1975,-1.81,0.055,0,13
21,0.35,0.1675,-1.755,0.025,0,13
22,0.35,0.2075,-1.755,0.035,0,13
23,0.35,0.19875,-1.69,0.03,0,13
24,0.35,0.19125,-1.71,0.035,0,13
25,0.35,0.15125,-1.62,0.0025,0,13
26,0.35,0.1625,-1.66,0.0075,0,13
27,0.35,0.14375,-1.67,-0.025,0,13
28,0.35,0.105,-1.69,-0.02,0,13
29,0.35,0.11625,-1.755,0.0075,0,13
30,0.35,0.0925,-1.685,-0.045,0,13
31,0.35,0.0575,-1.76,0,0,13
32,0.35,0.0775,-1.65,-0.06,0,13
33,0.35,0.07,-1.77,-0.0675,0,13
34,0.35,0.065,-1.75,-0.06,0,13
35,0.35,-0.00625,-1.755,-0.0725,0,13
36,0.35,-0.03125,-1.96,-0.0525,0,13
37,0.35,-0.015,-1.935,-0.0475,0,13
38,0.35,-0.0025,-1.855,-0.06,0,13
39,0.35,-0.01625,-1.76,-0.1,0,13
40,0.35,0.0175,-1.625,-0.105,0,13
41,0.35,-0.015,-1.7,-0.08,0,13
42,0.35,0.01875,-1.845,-0.115,0,13
43,0.35,-0.01,-1.845,-0.085,0,13
44,0.35,-0.05,-1.73,-0.055,0,13
45,0.35,-0.015,-1.675,-0.0475,0,13
46,0.35,0.05375,-1.595,-0.0225,0,13
47,0.35,0.02375,-1.7,-0.0775,0,13
48,0.35,0.0425,-1.6,-0.1,0,13
49,0.35,0.075,-1.685,-0.0525,0,13
50,0.35,0.02875,-1.76,-0.0175,0,13
