sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.35,1,-4,1,0,7
1,0.35,0.89375,-3.315,0.8,0,7
2,0.35,0.82375,-2.93,0.6725,0,7
3,0.35,0.75625,-2.625,0.57,0,7
4,0.35,0.6975,-2.47,0.5075,0,7
5,0.35,0.66375,-2.265,0.43,0,7
6,0.35,0.63125,-2.235,0.3875,0,7
7,0.35,0.58,-2.195,0.335,0,7
8,0.35,0.565,-2.215,0.33,0,7
9,0.35,0.5475,-2.11,0.285,0,7
10,0.35,0.52125,-1.935,0.25,0,7
11,0.35,0.51625,-2.025,0.2275,0,7
12,0.35,0.5225,-2.115,0.2625,0,7
13,0.35,0.525,-2.15,0.27,0,7
14,0.35,0.4925,-2.135,0.22,0,7
15,0.35,0.46875,-2.12,0.2,0,7
16,0.35,0.46,-2.155,0.2225,0,7
17,0.35,0.45125,-2.135,0.2175,0,7
18,0.35,0.41125,-1.835,0.2,0,7
19,0.35,0.4375,-1.915,0.195,0,7
20,0.35,0.44375,-1.88,0.1975,0,7
21,0.35,0.40625,-1.78,0.135,0,7
22,0.35,0.36375,-1.82,0.115,0,7
23,0.35,0.3425,-1.835,0.115,0,7
24,0.35,0.365,-1.805,0.1625,0,7
25,0.35,0.34125,-1.83,0.095,0,7
26,0.35,0.28375,-1.68,0.065,0,7
27,0.35,0.2675,-1.61,0.0625,0,7
28,0.35,0.30375,-1.685,0.065,0,7
29,0.35,0.30625,-1.87,0.065,0,7
30,0.35,0.28625,-1.705,0.06,0,7
31,0.35,0.245,-1.67,0.065,0,7
32,0.35,0.175,-1.73,0.03,0,7
33,0.35,0.18875,-1.87,0.0375,0,7
34,0.35,0.19625,-1.89,0.0725,0,7
35,0.35,0.22375,-1.785,0.0875,0,7
36,0.35,0.24375,-1.895,0.0525,0,7
37,0.35,0.24,-1.805,0.0625,0,7
38,0.35,0.20875,-1.885,0.045,0,7
39,0.35,0.19875,-1.81,0.0625,0,7
40,0.35,0.17875,-1.735,0,0,7
41,0.35,0.11,-1.66,0.0025,0,7
42,0.35,0.0625,-1.735,-0.0075,0,7
43,0.35,0.02625,-1.755,0,0,7
44,0.35,0.02,-1.785,0.0125,0,7
45,0.35,0.00125,-1.7,0.0025,0,7
46,0.35,-0.00625,-1.63,0.04,0,7
47,0.35,0.0425,-1.68,0.045,0,7
48,0.35,0.01875,-1.705,0.0125,0,7
49,0.35,-0.0325,-1.655,-0.0075,0,7
50,0.35,-0.08125,-1.735,-0.0275,0,7
