sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.2,1,-4,1,0,5
1,0.2,0.6475,-2,0.41,0,5
2,0.2,0.4025,-1.265,0.125,0,5
3,0.2,0.255,-1.01,0.0525,0,5
4,0.2,0.16625,-0.94,0.0325,0,5
5,0.2,0.1225,-0.94,0,0,5
6,0.2,0.1075,-0.915,0.0275,0,5
7,0.2,0.0575,-0.855,0.0575,0,5
8,0.2,-0.0075,-0.795,0.0075,0,5
9,0.2,-0.02875,-0.76,0.035,0,5
10,0.2,-0.0975,-0.77,0.0075,0,5
11,0.2,-0.0625,-0.815,0.035,0,5
12,0.2,-0.06875,-0.98,0.01,0,5
13,0.2,0.00875,-0.84,0.0075,0,5
14,0.2,0.01625,-0.89,0.035,0,5
15,0.2,0.0325,-0.81,0.0175,0,5
16,0.2,0.06,-0.76,0,0,5
17,0.2,0.085,-0.845,-0.0325,0,5
18,0.2,0.08,-0.89,-0.04,0,5
19,0.2,0.0025,-0.875,-0.015,0,5
20,0.2,-0.0075,-0.78,0.0125,0,5
21,0.2,0.0025,-0.85,0.0125,0,5
22,0.2,-0.0325,-0.77,-0.0625,0,5
23,0.2,-0.00375,-0.84,-0.0075,0,5
24,0.2,-0.0175,-0.88,0.02,0,5
25,0.2,-0.0875,-0.985,0.0075,0,5
26,0.2,-0.04125,-0.87,0,0,5
27,0.2,-0.0225,-0.835,0.0325,0,5
28,0.2,0.075,-0.965,0.0175,0,5
29,0.2,0.05625,-0.785,-0.0225,0,5
30,0.2,0.04875,-0.92,-0.065,0,5
31,0.2,0.0125,-0.77,-0.0075,0,5
32,0.2,-0.02,-0.835,0.0475,0,5
33,0.2,0.035,-0.93,0.025,0,5
34,0.2,-0.0225,-0.835,0.0225,0,5
35,0.2,-0.015,-0.905,0.03,0,5
36,0.2,-0.06625,-1.025,0.0075,0,5
37,0.2,-0.0925,-0.79,-0.0225,0,5
38,0.2,-0.05,-0.845,-0.025,0,5
39,0.2,-0.01,-0.93,-0.0075,0,5
40,0.2,-0.01625,-0.95,-0.055,0,5
41,0.2,0,-0.795,-0.0375,0,5
42,0.2,-0.03625,-0.655,0.0175,0,5
43,0.2,-0.035,-0.845,-0.0775,0,5
44,0.2,-0.0325,-0.755,-0.055,0,5
45,0.2,0.005,-0.91,-0.0475,0,5
46,0.2,-0.0125,-0.785,0.0025,0,5
47,0.2,-0.0975,-0.905,0.0075,0,5
48,0.2,-0.07625,-0.875,-0.0075,0,5
49,0.2,0.0075,-0.78,0,0,5
50,0.2,-0.0125,-0.925,0.02,0,5
