sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.2,1,-4,1,0,8
1,0.2,0.6225,-1.995,0.3625,0,8
2,0.2,0.3425,-1.175,0.12,0,8
3,0.2,0.21375,-1.015,0.02,0,8
4,0.2,0.13375,-0.765,-0.035,0,8
5,0.2,0.055,-0.75,-0.01,0,8
6,0.2,0.025,-0.88,0.005,0,8
7,0.2,-0.01,-0.805,0.0125,0,8
8,0.2,-0.0225,-0.87,-0.07,0,8
9,0.2,-0.015,-0.925,-0.0325,0,8
10,0.2,0.0225,-0.965,-0.0225,0,8
11,0.2,-0.02875,-0.96,-0.005,0,8
12,0.2,0.03625,-0.82,-0.0025,0,8
13,0.2,0.06375,-0.825,0.0025,0,8
14,0.2,0.075,-0.89,0.015,0,8
15,0.2,0.0875,-0.84,-0.025,0,8
16,0.2,0.065,-0.865,-0.025,0,8
17,0.2,-0.01875,-0.975,0.02,0,8
18,0.2,0.00125,-0.855,0.025,0,8
19,0.2,-0.01875,-0.93,0.01,0,8
20,0.2,-0.02375,-0.9,0.005,0,8
21,0.2,-0.03,-0.84,0.025,0,8
22,0.2,0.03625,-0.875,-0.0425,0,8
23,0.2,0.02875,-0.745,0.0125,0,8
24,0.2,-0.0325,-0.835,0.0125,0,8
25,0.2,-0.04375,-0.8,0.035,0,8
26,0.2,0.0025,-0.885,0.0025,0,8
27,0.2,0.1,-0.98,0.055,0,8
28,0.2,0.05875,-0.96,0.045,0,8
29,0.2,-0.02625,-0.905,-0.0625,0,8
30,0.2,0.0225,-0.845,0.04,0,8
31,0.2,-0.00125,-0.835,-0.015,0,8
32,0.2,0.03875,-0.945,-0.03,0,8
33,0.2,-0.025,-0.795,-0.0075,0,8
34,0.2,0.0475,-0.93,-0.02,0,8
35,0.2,0.04125,-0.875,-0.01,0,8
36,0.2,0.06625,-0.94,0.005,0,8
37,0.2,0.0525,-0.935,0,0,8
38,0.2,0.02625,-0.795,-0.0075,0,8
39,0.2,-0.01625,-0.965,0.015,0,8
40,0.2,0.02,-0.885,-0.0175,0,8
41,0.2,0.0075,-0.855,-0.02,0,8
42,0.2,-0.03875,-0.905,-0.085,0,8
43,0.2,-0.04875,-0.855,-0.0025,0,8
44,0.2,-0.03,-0.8,0.0025,0,8
45,0.2,-0.05125,-0.885,-0.04,0,8
46,0.2,-0.02375,-1.05,0.005,0,8
47,0.2,-0.05375,-0.9,0.0025,0,8
48,0.2,-0.08,-0.91,-0.0275,0,8
49,0.2,0.01875,-0.755,0.0025,0,8
50,0.2,-0.02875,-0.78,-0.035,0,8
