sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.5,1,-4,1,0,3
1,0.5,0.97375,-3.82,0.9475,0,3
2,0.5,0.9475,-3.65,0.895,0,3
3,0.5,0.935,-3.585,0.8725,0,3
4,0.5,0.94,-3.59,0.89,0,3
5,0.5,0.9325,-3.535,0.87,0,3
6,0.5,0.95,-3.655,0.9025,0,3
7,0.5,0.93625,-3.605,0.8775,0,3
8,0.5,0.9,-3.43,0.8125,0,3
9,0.5,0.92125,-3.515,0.8475,0,3
10,0.5,0.93625,-3.57,0.8775,0,3
11,0.5,0.9125,-3.49,0.835,0,3
12,0.5,0.895,-3.44,0.8025,0,3
13,0.5,0.9025,-3.435,0.8125,0,3
14,0.5,0.90625,-3.485,0.8225,0,3
15,0.5,0.92125,-3.55,0.8575,0,3
16,0.5,0.895,-3.48,0.8075,0,3
17,0.5,0.88625,-3.47,0.7925,0,3
18,0.5,0.87875,-3.43,0.7775,0,3
19,0.5,0.8825,-3.41,0.775,0,3
20,0.5,0.88875,-3.44,0.7925,0,3
21,0.5,0.89125,-3.41,0.7975,0,3
22,0.5,0.89875,-3.43,0.8175,0,3
23,0.5,0.91375,-3.49,0.84,0,3
24,0.5,0.905,-3.44,0.815,0,3
25,0.5,0.90125,-3.425,0.8075,0,3
26,0.5,0.85875,-3.255,0.7375,0,3
27,0.5,0.885,-3.4,0.785,0,3
28,0.5,0.86,-3.33,0.76,0,3
29,0.5,0.87125,-3.365,0.7675,0,3
30,0.5,0.85625,-3.385,0.7575,0,3
31,0.5,0.845,-3.4,0.735,0,3
32,0.5,0.84625,-3.375,0.73,0,3
33,0.5,0.85,-3.4,0.74,0,3
34,0.5,0.845,-3.35,0.73,0,3
35,0.5,0.865,-3.425,0.785,0,3
36,0.5,0.86625,-3.45,0.78,0,3
37,0.5,0.86875,-3.45,0.7925,0,3
38,0.5,0.86875,-3.475,0.7975,0,3
39,0.5,0.85625,-3.45,0.79,0,3
40,0.5,0.83625,-3.36,0.7575,0,3
41,0.5,0.81375,-3.26,0.745,0,3
42,0.5,0.8275,-3.325,0.76,0,3
43,0.5,0.805,-3.18,0.7,0,3
44,0.5,0.80625,-3.235,0.6925,0,3
45,0.5,0.8225,-3.305,0.72,0,3
46,0.5,0.8325,-3.325,0.7375,0,3
47,0.5,0.85,-3.385,0.775,0,3
48,0.5,0.8675,-3.445,0.7725,0,3
49,0.5,0.8625,-3.405,0.7725,0,3
50,0.5,0.84875,-3.355,0.7575,0,3
