sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.3,1,-4,1,0,5
1,0.3,0.82,-2.905,0.675,0,5
2,0.3,0.72375,-2.54,0.525,0,5
3,0.3,0.6525,-2.2,0.415,0,5
4,0.3,0.56,-1.92,0.315,0,5
5,0.3,0.50625,-1.83,0.22,0,5
6,0.3,0.39875,-1.715,0.1375,0,5
7,0.3,0.33125,-1.515,0.0925,0,5
8,0.3,0.245,-1.41,0.0775,0,5
9,0.3,0.30625,-1.385,0.0975,0,5
10,0.3,0.29625,-1.495,0.0775,0,5
11,0.3,0.24625,-1.365,0.0575,0,5
12,0.3,0.25125,-1.455,0.08,0,5
13,0.3,0.165,-1.425,0.06,0,5
14,0.3,0.11,-1.4,0.0475,0,5
15,0.3,0.13625,-1.43,0.02,0,5
16,0.3,0.10375,-1.37,0.0075,0,5
17,0.3,0.0875,-1.295,0.0125,0,5
18,0.3,0.12125,-1.235,-0.025,0,5
19,0.3,0.15625,-1.345,0.0575,0,5
20,0.3,0.14625,-1.44,0.04,0,5
21,0.3,0.09125,-1.38,0.05,0,5
22,0.3,0.0675,-1.395,0.01,0,5
23,0.3,0.09625,-1.34,0.055,0,5
24,0.3,0.09125,-1.355,0.03,0,5
25,0.3,0.07125,-1.47,0.0675,0,5
26,0.3,0.03,-1.33,0.0475,0,5
27,0.3,0.0075,-1.445,0.065,0,5
28,0.3,0.0175,-1.37,0.0125,0,5
29,0.3,-0.01375,-1.365,0.0425,0,5
30,0.3,0.02875,-1.335,0.0275,0,5
31,0.3,0.0175,-1.32,-0.01,0,5
32,0.3,0.0425,-1.475,-0.0475,0,5
33,0.3,0.02125,-1.4,-0.0225,0,5
34,0.3,-0.0525,-1.405,-0.0125,0,5
35,0.3,-0.05625,-1.54,-0.0275,0,5
36,0.3,-0.0325,-1.385,0.01,0,5
37,0.3,-0.00375,-1.305,0.0125,0,5
38,0.3,-0.015,-1.42,0.135,0,5
39,0.3,-0.0525,-1.54,0.0875,0,5
40,0.3,-0.1375,-1.55,0.0575,0,5
41,0.3,-0.07,-1.36,0.05,0,5
42,0.3,-0.05625,-1.42,0.0375,0,5
43,0.3,-0.07125,-1.39,0.05,0,5
44,0.3,-0.09125,-1.325,0.0675,0,5
45,0.3,-0.0525,-1.6,0.04,0,5
46,0.3,-0.04125,-1.445,0.0325,0,5
47,0.3,-0.05125,-1.395,0.0075,0,5
48,0.3,-0.02875,-1.325,-0.0225,0,5
49,0.3,-0.06375,-1.375,-0.0075,0,5
50,0.3,-0.03375,-1.525,-0.02,0,5
