sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.5,1,-4,1,0,9
1,0.5,0.9725,-3.79,0.9475,0,9
2,0.5,0.9575,-3.715,0.9175,0,9
3,0.5,0.94375,-3.645,0.8875,0,9
4,0.5,0.94,-3.6,0.8825,0,9
5,0.5,0.905,-3.44,0.815,0,9
6,0.5,0.90375,-3.44,0.8125,0,9
7,0.5,0.925,-3.535,0.8575,0,9
8,0.5,0.9,-3.46,0.81,0,9
9,0.5,0.90375,-3.48,0.81,0,9
10,0.5,0.88375,-3.41,0.7825,0,9
11,0.5,0.88375,-3.385,0.78,0,9
12,0.5,0.9175,-3.5,0.84,0,9
13,0.5,0.91625,-3.53,0.8375,0,9
14,0.5,0.9175,-3.525,0.85,0,9
15,0.5,0.915,-3.495,0.835,0,9
16,0.5,0.89125,-3.395,0.7825,0,9
17,0.5,0.91125,-3.48,0.825,0,9
18,0.5,0.915,-3.455,0.8325,0,9
19,0.5,0.89625,-3.42,0.8,0,9
20,0.5,0.8825,-3.39,0.775,0,9
21,0.5,0.89375,-3.375,0.8,0,9
22,0.5,0.89,-3.415,0.795,0,9
23,0.5,0.915,-3.5,0.8375,0,9
24,0.5,0.90375,-3.455,0.815,0,9
25,0.5,0.91125,-3.46,0.8275,0,9
26,0.5,0.9275,-3.525,0.86,0,9
27,0.5,0.9275,-3.585,0.855,0,9
28,0.5,0.9225,-3.56,0.86,0,9
29,0.5,0.93375,-3.59,0.8825,0,9
30,0.5,0.93875,-3.59,0.885,0,9
31,0.5,0.9475,-3.665,0.9,0,9
32,0.5,0.93875,-3.565,0.88,0,9
33,0.5,0.9375,-3.585,0.875,0,9
34,0.5,0.9275,-3.54,0.855,0,9
35,0.5,0.93,-3.575,0.86,0,9
36,0.5,0.9225,-3.49,0.855,0,9
37,0.5,0.905,-3.46,0.8125,0,9
38,0.5,0.90875,-3.43,0.825,0,9
39,0.5,0.9125,-3.465,0.83,0,9
40,0.5,0.9175,-3.495,0.84,0,9
41,0.5,0.9225,-3.48,0.85,0,9
42,0.5,0.9225,-3.5,0.8475,0,9
43,0.5,0.9275,-3.525,0.855,0,9
44,0.5,0.9275,-3.535,0.8575,0,9
45,0.5,0.91875,-3.485,0.845,0,9
46,0.5,0.895,-3.38,0.8025,0,9
47,0.5,0.90125,-3.43,0.8075,0,9
48,0.5,0.90125,-3.435,0.8075,0,9
49,0.5,0.9175,-3.535,0.845,0,9
50,0.5,0.91,-3.465,0.8275,0,9
