sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.2,1,-4,1,0,14
1,0.2,0.665,-2.105,0.425,0,14
2,0.2,0.36625,-1.24,0.1525,0,14
3,0.2,0.25625,-1.04,0.0925,0,14
4,0.2,0.115,-1.025,0.0525,0,14
5,0.2,0.07625,-0.905,0.0175,0,14
6,0.2,0.02625,-0.735,0.0075,0,14
7,0.2,0.0175,-0.865,0.0075,0,14
8,0.2,0.0125,-0.9,-0.0025,0,14
9,0.2,-0.04625,-0.81,0.0125,0,14
10,0.2,0.015,-0.815,-0.0075,0,14
11,0.2,0.055,-0.825,0.0125,0,14
12,0.2,0.05625,-0.91,0.01,0,14
13,0.2,0.02375,-0.765,-0.0125,0,14
14,0.2,-0.0275,-0.85,-0.005,0,14
15,0.2,0.0125,-0.745,-0.045,0,14
16,0.2,0.025,-0.7,-0.025,0,14
17,0.2,-0.0175,-0.775,-0.0025,0,14
18,0.2,-0.03625,-0.795,0.005,0,14
19,0.2,-0.03625,-0.83,0.03,0,14
20,0.2,-0.0225,-0.86,-0.0025,0,14
21,0.2,-0.03625,-0.825,-0.005,0,14
22,0.2,-0.0025,-0.765,-0.005,0,14
23,0.2,0.00875,-0.92,-0.01,0,14
24,0.2,0.02875,-0.8,0.0125,0,14
25,0.2,0.0675,-1.005,-0.04,0,14
26,0.2,0.00375,-0.865,-0.0075,0,14
27,0.2,-0.04125,-0.88,0,0,14
28,0.2,0.015,-0.84,-0.0275,0,14
29,0.2,-0.0425,-0.835,0.0075,0,14
30,0.2,-0.08,-0.945,0.0225,0,14
31,0.2,-0.05625,-0.875,-0.01,0,14
32,0.2,-0.00375,-0.885,0.0025,0,14
33,0.2,0.03125,-0.885,-0.0125,0,14
34,0.2,0.0225,-0.915,-0.0125,0,14
35,0.2,0.00875,-0.835,-0.005,0,14
36,0.2,0.0675,-0.825,0,0,14
37,0.2,0.0525,-0.86,-0.0025,0,14
38,0.2,-0.01625,-0.865,-0.0175,0,14
39,0.2,0.0225,-0.98,-0.005,0,14
40,0.2,0.05125,-0.85,0.0025,0,14
41,0.2,0.02875,-0.78,-0.07,0,14
42,0.2,0.10125,-0.885,-0.0125,0,14
43,0.2,0.07625,-0.965,0.035,0,14
44,0.2,0.0275,-0.99,-0.0075,0,14
45,0.2,-0.0025,-0.84,0.0225,0,14
46,0.2,-0.005,-0.845,-0.0075,0,14
47,0.2,0.035,-0.91,-0.0225,0,14
48,0.2,0.03625,-0.8,-0.02,0,14
49,0.2,-0.00875,-0.83,-0.0325,0,14
50,0.2,-0.01125,-0.965,-0.015,0,14
