sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.6,1,-4,1,0,0
1,0.6,0.99,-3.92,1,0,0
2,0.6,0.98,-3.855,1,0,0
3,0.6,0.98375,-3.875,1,0,0
4,0.6,0.98375,-3.87,1,0,0
5,0.6,0.985,-3.885,1,0,0
6,0.6,0.98,-3.845,1,0,0
7,0.6,0.97875,-3.845,1,0,0
8,0.6,0.96875,-3.775,1,0,0
9,0.6,0.9725,-3.785,1,0,0
10,0.6,0.97125,-3.795,1,0,0
11,0.6,0.97,-3.77,1,0,0
12,0.6,0.975,-3.815,1,0,0
13,0.6,0.97625,-3.825,1,0,0
14,0.6,0.97625,-3.855,1,0,0
15,0.6,0.9825,-3.87,1,0,0
16,0.6,0.975,-3.815,1,0,0
17,0.6,0.9725,-3.815,1,0,0
18,0.6,0.9775,-3.86,1,0,0
19,0.6,0.975,-3.825,1,0,0
20,0.6,0.97875,-3.855,1,0,0
21,0.6,0.9675,-3.78,1,0,0
22,0.6,0.97,-3.785,1,0,0
23,0.6,0.975,-3.82,1,0,0
24,0.6,0.97125,-3.79,1,0,0
25,0.6,0.96625,-3.825,1,0,0
26,0.6,0.95875,-3.74,1,0,0
27,0.6,0.97125,-3.815,1,0,0
28,0.6,0.96375,-3.755,1,0,0
29,0.6,0.97375,-3.805,1,0,0
30,0.6,0.97375,-3.835,1,0,0
31,0.6,0.9675,-3.8,1,0,0
32,0.6,0.975,-3.82,1,0,0
33,0.6,0.9725,-3.81,1,0,0
34,0.6,0.9775,-3.84,1,0,0
35,0.6,0.97,-3.78,1,0,0
36,0.6,0.97,-3.795,1,0,0
37,0.6,0.965,-3.8,1,0,0
38,0.6,0.97,-3.8,1,0,0
39,0.6,0.9775,-3.84,1,0,0
40,0.6,0.97375,-3.825,1,0,0
41,0.6,0.97875,-3.855,1,0,0
42,0.6,0.9675,-3.8,1,0,0
43,0.6,0.975,-3.83,1,0,0
44,0.6,0.97875,-3.845,1,0,0
45,0.6,0.98125,-3.865,1,0,0
46,0.6,0.9875,-3.905,1,0,0
47,0.6,0.9775,-3.835,1,0,0
48,0.6,0.975,-3.81,1,0,0
49,0.6,0.97875,-3.85,1,0,0
50,0.6,0.9675,-3.77,1,0,0
