sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.8,1,-4,1,0,4
1,0.8,0.995,-3.965,0.99,0,4
2,0.8,0.99625,-3.97,0.9925,0,4
3,0.8,0.995,-3.965,0.99,0,4
4,0.8,0.9925,-3.94,0.985,0,4
5,0.8,0.99,-3.925,0.98,0,4
6,0.8,0.99125,-3.93,0.9825,0,4
7,0.8,0.99375,-3.95,0.9875,0,4
8,0.8,0.9975,-3.98,0.995,0,4
9,0.8,0.995,-3.96,0.99,0,4
10,0.8,0.995,-3.96,0.99,0,4
11,0.8,0.99625,-3.97,0.9925,0,4
12,0.8,0.995,-3.96,0.99,0,4
13,0.8,0.99625,-3.97,0.9925,0,4
14,0.8,0.99875,-3.99,0.9975,0,4
15,0.8,0.99875,-3.99,0.9975,0,4
16,0.8,0.99625,-3.975,0.9925,0,4
17,0.8,0.99625,-3.97,0.9925,0,4
18,0.8,0.9925,-3.94,0.985,0,4
19,0.8,0.995,-3.965,0.99,0,4
20,0.8,0.995,-3.965,0.99,0,4
21,0.8,0.99875,-3.99,0.9975,0,4
22,0.8,0.9975,-3.98,0.995,0,4
23,0.8,0.99625,-3.97,0.9925,0,4
24,0.8,0.99875,-3.99,0.9975,0,4
25,0.8,0.99625,-3.97,0.9925,0,4
26,0.8,0.9975,-3.98,0.995,0,4
27,0.8,0.995,-3.96,0.99,0,4
28,0.8,0.9975,-3.98,0.995,0,4
29,0.8,0.9975,-3.98,0.995,0,4
30,0.8,0.9925,-3.95,0.985,0,4
31,0.8,0.995,-3.96,0.99,0,4
32,0.8,0.9925,-3.94,0.985,0,4
33,0.8,0.9925,-3.94,0.985,0,4
34,0.8,0.9975,-3.98,0.995,0,4
35,0.8,1,-4,1,0,4
36,0.8,0.99875,-3.99,0.9975,0,4
37,0.8,0.99875,-3.99,0.9975,0,4
38,0.8,0.99625,-3.97,0.9925,0,4
39,0.8,0.99375,-3.95,0.9875,0,4
40,0.8,0.995,-3.965,0.99,0,4
41,0.8,0.99375,-3.95,0.9875,0,4
42,0.8,0.995,-3.96,0.99,0,4
43,0.8,0.99125,-3.93,0.9825,0,4
44,0.8,0.99,-3.935,0.98,0,4
45,0.8,0.9925,-3.94,0.985,0,4
46,0.8,0.995,-3.96,0.99,0,4
47,0.8,0.99375,-3.95,0.9875,0,4
48,0.8,0.995,-3.96,0.99,0,4
49,0.8,0.9975,-3.98,0.995,0,4
50,0.8,0.9975,-3.98,0.995,0,4
