sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.4,1,-4,1,0,8
1,0.4,0.9325,-3.52,0.87,0,8
2,0.4,0.87125,-3.21,0.7525,0,8
3,0.4,0.83125,-2.96,0.68,0,8
4,0.4,0.81625,-2.915,0.665,0,8
5,0.4,0.765,-2.735,0.59,0,8
6,0.4,0.8025,-2.895,0.6425,0,8
7,0.4,0.82,-3.02,0.655,0,8
8,0.4,0.80625,-3.01,0.6525,0,8
9,0.4,0.78125,-2.85,0.635,0,8
10,0.4,0.7575,-2.785,0.585,0,8
11,0.4,0.725,-2.745,0.5175,0,8
12,0.4,0.72,-2.685,0.5225,0,8
13,0.4,0.73125,-2.7,0.5425,0,8
14,0.4,0.71125,-2.69,0.5025,0,8
15,0.4,0.70375,-2.59,0.5175,0,8
16,0.4,0.72125,-2.685,0.5525,0,8
17,0.4,0.735,-2.73,0.5675,0,8
18,0.4,0.70375,-2.65,0.5,0,8
19,0.4,0.70125,-2.605,0.5025,0,8
20,0.4,0.6525,-2.48,0.425,0,8
21,0.4,0.64,-2.455,0.4275,0,8
22,0.4,0.6125,-2.5,0.365,0,8
23,0.4,0.64,-2.585,0.4625,0,8
24,0.4,0.66875,-2.62,0.4725,0,8
25,0.4,0.6475,-2.73,0.4125,0,8
26,0.4,0.6175,-2.63,0.41,0,8
27,0.4,0.5925,-2.59,0.3625,0,8
28,0.4,0.5975,-2.6,0.345,0,8
29,0.4,0.5825,-2.62,0.34,0,8
30,0.4,0.625,-2.66,0.4025,0,8
31,0.4,0.6075,-2.775,0.3875,0,8
32,0.4,0.58375,-2.695,0.3575,0,8
33,0.4,0.52875,-2.525,0.355,0,8
34,0.4,0.53,-2.47,0.355,0,8
35,0.4,0.495,-2.475,0.305,0,8
36,0.4,0.44125,-2.33,0.2275,0,8
37,0.4,0.405,-2.31,0.195,0,8
38,0.4,0.37125,-2.24,0.15,0,8
39,0.4,0.3475,-2.225,0.17,0,8
40,0.4,0.33625,-2.235,0.145,0,8
41,0.4,0.3575,-2.35,0.15,0,8
42,0.4,0.35125,-2.285,0.125,0,8
43,0.4,0.33875,-2.23,0.1375,0,8
44,0.4,0.33875,-2.195,0.1175,0,8
45,0.4,0.32,-2.375,0.18,0,8
46,0.4,0.3275,-2.425,0.19,0,8
47,0.4,0.29,-2.31,0.1575,0,8
48,0.4,0.29625,-2.355,0.1175,0,8
49,0.4,0.28125,-2.24,0.135,0,8
50,0.4,0.25,-2.205,0.1125,0,8
