sweeps,beta,magnetisation,energy,G,seed
0,0.4,1,-4,1,9
1,0.4,0.90375,-3.395,0.8375,9
2,0.4,0.84875,-3.1,0.7725,9
3,0.4,0.8275,-3.05,0.7675,9
4,0.4,0.8,-2.97,0.7425,9
5,0.4,0.75875,-2.815,0.71,9
6,0.4,0.77375,-2.915,0.73,9
7,0.4,0.74125,-2.825,0.71,9
8,0.4,0.70875,-2.76,0.6875,9
9,0.4,0.70625,-2.685,0.6675,9
10,0.4,0.685,-2.615,0.655,9
11,0.4,0.6825,-2.59,0.645,9
12,0.4,0.6625,-2.56,0.64,9
13,0.4,0.65625,-2.56,0.635,9
14,0.4,0.6375,-2.59,0.65,9
15,0.4,0.61875,-2.435,0.6,9
16,0.4,0.645,-2.505,0.6125,9
17,0.4,0.61375,-2.435,0.6,9
18,0.4,0.59625,-2.375,0.59,9
19,0.4,0.61875,-2.545,0.6425,9
20,0.4,0.62125,-2.595,0.635,9
21,0.4,0.6375,-2.535,0.6275,9
22,0.4,0.59,-2.465,0.625,9
23,0.4,0.5525,-2.36,0.5775,9
24,0.4,0.57,-2.41,0.6,9
25,0.4,0.60625,-2.43,0.5875,9
26,0.4,0.5875,-2.32,0.5925,9
27,0.4,0.61625,-2.41,0.615,9
28,0.4,0.61875,-2.435,0.5975,9
29,0.4,0.5875,-2.445,0.615,9
30,0.4,0.525,-2.37,0.6075,9
31,0.4,0.5425,-2.53,0.6325,9
32,0.4,0.48625,-2.275,0.5725,9
33,0.4,0.475,-2.22,0.5425,9
34,0.4,0.445,-2.235,0.55,9
35,0.4,0.47375,-2.275,0.5925,9
36,0.4,0.435,-2.175,0.555,9
37,0.4,0.47,-2.23,0.575,9
38,0.4,0.4875,-2.195,0.5175,9
39,0.4,0.4525,-2.215,0.5475,9
40,0.4,0.40875,-2.155,0.5375,9
41,0.4,0.42625,-2.135,0.5275,9
42,0.4,0.44625,-2.27,0.5725,9
43,0.4,0.415,-2.065,0.505,9
44,0.4,0.415,-2.205,0.56,9
45,0.4,0.43625,-2.28,0.5375,9
46,0.4,0.45,-2.385,0.59,9
47,0.4,0.45625,-2.53,0.6375,9
48,0.4,0.475,-2.375,0.6125,9
