sweeps,beta,magnetisation,energy,G,seed
0,0.4,1,-4,1,47
1,0.4,0.9175,-3.44,0.8525,47
2,0.4,0.88,-3.265,0.8175,47
3,0.4,0.865,-3.17,0.7875,47
4,0.4,0.85375,-3.08,0.78,47
5,0.4,0.84375,-3.115,0.78,47
6,0.4,0.8275,-3.09,0.7725,47
7,0.4,0.78875,-2.875,0.7225,47
8,0.4,0.7225,-2.75,0.675,47
9,0.4,0.71125,-2.635,0.65,47
10,0.4,0.71875,-2.66,0.66,47
11,0.4,0.72125,-2.695,0.675,47
12,0.4,0.68125,-2.61,0.64,47
13,0.4,0.65375,-2.585,0.6625,47
14,0.4,0.61375,-2.395,0.61,47
15,0.4,0.54125,-2.27,0.58,47
16,0.4,0.5025,-2.31,0.555,47
17,0.4,0.52625,-2.3,0.575,47
18,0.4,0.51,-2.31,0.585,47
19,0.4,0.5025,-2.325,0.585,47
20,0.4,0.47875,-2.2,0.5325,47
21,0.4,0.48625,-2.265,0.56,47
22,0.4,0.47625,-2.24,0.5675,47
23,0.4,0.47,-2.13,0.5375,47
24,0.4,0.42375,-2.105,0.5325,47
25,0.4,0.46875,-2,0.5,47
26,0.4,0.47,-2.21,0.565,47
27,0.4,0.43375,-2.39,0.605,47
28,0.4,0.3925,-2.385,0.59,47
29,0.4,0.36375,-2.325,0.575,47
30,0.4,0.37,-2.255,0.555,47
31,0.4,0.34875,-2.265,0.5875,47
32,0.4,0.34625,-2.255,0.555,47
33,0.4,0.31875,-2.29,0.58,47
34,0.4,0.295,-2.2,0.55,47
35,0.4,0.25625,-2.1,0.525,47
36,0.4,0.25875,-2.185,0.535,47
37,0.4,0.25875,-2.11,0.5475,47
38,0.4,0.22375,-1.97,0.49,47
39,0.4,0.2075,-2.24,0.5525,47
40,0.4,0.1575,-2.235,0.5725,47
41,0.4,0.1475,-2.125,0.535,47
42,0.4,0.15875,-2.195,0.555,47
43,0.4,0.1575,-2.33,0.5925,47
44,0.4,0.19,-2.29,0.565,47
45,0.4,0.19875,-2.275,0.5775,47
46,0.4,0.22125,-2.22,0.5525,47
47,0.4,0.2,-2.215,0.555,47
48,0.4,0.20875,-2.285,0.5675,47
49,0.4,0.22375,-2.25,0.5475,47
50,0.4,0.1875,-2.345,0.5625,47
51,0.4,0.1975,-2.305,0.565,47
52,0.4,0.17625,-2.285,0.5825,47
53,0.4,0.13625,-2.275,0.555,47
54,0.4,0.13125,-2.21,0.5325,47
