sweeps,beta,magnetisation,energy,G,seed
0,0.45,1,-4,1,40
1,0.45,0.96,-3.725,0.93,40
2,0.45,0.92875,-3.555,0.8875,40
3,0.45,0.9,-3.375,0.8525,40
4,0.45,0.905,-3.36,0.8375,40
5,0.45,0.9175,-3.495,0.865,40
6,0.45,0.905,-3.405,0.845,40
7,0.45,0.88125,-3.34,0.83,40
8,0.45,0.855,-3.235,0.8075,40
9,0.45,0.85375,-3.205,0.8,40
10,0.45,0.86375,-3.205,0.795,40
11,0.45,0.83875,-3.11,0.7775,40
12,0.45,0.83875,-3.06,0.755,40
13,0.45,0.8525,-3.09,0.7725,40
14,0.45,0.85625,-3.17,0.785,40
15,0.45,0.86875,-3.295,0.8225,40
16,0.45,0.8675,-3.305,0.8325,40
17,0.45,0.86375,-3.29,0.825,40
18,0.45,0.85,-3.175,0.8025,40
19,0.45,0.85625,-3.29,0.8275,40
20,0.45,0.845,-3.255,0.8175,40
21,0.45,0.84875,-3.255,0.8125,40
22,0.45,0.84875,-3.205,0.795,40
23,0.45,0.825,-3.135,0.7775,40
24,0.45,0.80125,-3.04,0.7625,40
25,0.45,0.81125,-3.08,0.7725,40
26,0.45,0.795,-3.1,0.7825,40
27,0.45,0.77125,-3.045,0.775,40
28,0.45,0.7475,-2.99,0.7375,40
29,0.45,0.7325,-2.87,0.7225,40
30,0.45,0.7575,-2.93,0.7225,40
31,0.45,0.75,-2.855,0.7125,40
32,0.45,0.75,-2.895,0.73,40
33,0.45,0.75,-2.87,0.72,40
34,0.45,0.75375,-2.91,0.7325,40
35,0.45,0.7225,-2.865,0.725,40
36,0.45,0.70375,-2.8,0.7025,40
37,0.45,0.71,-2.79,0.6975,40
38,0.45,0.73375,-2.785,0.695,40
39,0.45,0.7325,-2.785,0.6875,40
40,0.45,0.70625,-2.85,0.7125,40
41,0.45,0.68375,-2.835,0.71,40
42,0.45,0.70625,-2.865,0.715,40
43,0.45,0.69625,-2.92,0.7375,40
44,0.45,0.69875,-2.915,0.7325,40
45,0.45,0.70875,-2.94,0.74,40
46,0.45,0.71625,-2.975,0.7325,40
47,0.45,0.745,-2.915,0.715,40
48,0.45,0.7575,-2.98,0.745,40
49,0.45,0.72625,-2.945,0.7325,40
50,0.45,0.7425,-2.905,0.73,40
51,0.45,0.75125,-2.915,0.7225,40
52,0.45,0.7575,-2.955,0.7275,40
53,0.45,0.7375,-2.915,0.735,40
54,0.45,0.74375,-2.99,0.7525,40
55,0.45,0.7725,-3.01,0.7525,40
56,0.45,0.765,-2.97,0.725,40
57,0.45,0.7825,-3.005,0.7475,40
58,0.45,0.79375,-3.135,0.7925,40
59,0.45,0.77625,-3.015,0.755,40
60,0.45,0.7775,-2.995,0.7475,40
61,0.45,0.7825,-3.045,0.765,40
62,0.45,0.80875,-3.13,0.7875,40
63,0.45,0.78375,-3.105,0.7725,40
64,0.45,0.77125,-2.935,0.725,40
65,0.45,0.75375,-2.945,0.7375,40
66,0.45,0.73125,-3.005,0.7425,40
67,0.45,0.72125,-2.95,0.7375,40
68,0.45,0.72125,-2.955,0.7375,40
69,0.45,0.75625,-3.045,0.77,40
70,0.45,0.7625,-3.055,0.78,40
71,0.45,0.73375,-2.865,0.715,40
72,0.45,0.7525,-2.975,0.7375,40
73,0.45,0.73875,-2.985,0.73,40
74,0.45,0.7375,-2.98,0.75,40
75,0.45,0.75,-3.055,0.7575,40
76,0.45,0.78875,-3.19,0.7925,40
77,0.45,0.7825,-3.135,0.7875,40
78,0.45,0.76375,-3.145,0.8025,40
79,0.45,0.74875,-3.015,0.755,40
