sweeps,beta,magnetisation,energy,G,seed
0,0.45,1,-4,1,32
1,0.45,0.95375,-3.655,0.9125,32
2,0.45,0.91625,-3.48,0.8725,32
3,0.45,0.91875,-3.495,0.875,32
4,0.45,0.8875,-3.31,0.83,32
5,0.45,0.9075,-3.395,0.85,32
6,0.45,0.89125,-3.36,0.84,32
7,0.45,0.8975,-3.405,0.8525,32
8,0.45,0.90625,-3.405,0.85,32
9,0.45,0.905,-3.415,0.8575,32
10,0.45,0.88125,-3.295,0.8225,32
11,0.45,0.86625,-3.255,0.8225,32
12,0.45,0.8475,-3.14,0.795,32
13,0.45,0.8625,-3.225,0.805,32
14,0.45,0.88125,-3.275,0.825,32
15,0.45,0.86,-3.165,0.8,32
16,0.45,0.845,-3.05,0.77,32
17,0.45,0.84125,-3.115,0.78,32
18,0.45,0.8425,-3.11,0.7825,32
19,0.45,0.84875,-3.145,0.7875,32
20,0.45,0.845,-3.15,0.775,32
21,0.45,0.825,-3.125,0.7775,32
22,0.45,0.82125,-3.175,0.7925,32
23,0.45,0.79625,-3.065,0.755,32
24,0.45,0.78625,-2.95,0.7475,32
25,0.45,0.8,-3.08,0.765,32
26,0.45,0.8075,-3.115,0.7725,32
27,0.45,0.81,-3.055,0.7575,32
28,0.45,0.80875,-3.08,0.76,32
29,0.45,0.825,-3.16,0.7825,32
30,0.45,0.8475,-3.28,0.825,32
31,0.45,0.8375,-3.245,0.8125,32
32,0.45,0.8575,-3.345,0.8475,32
33,0.45,0.82625,-3.16,0.7925,32
34,0.45,0.8175,-3.14,0.775,32
35,0.45,0.81,-3.05,0.7625,32
36,0.45,0.815,-3.035,0.7525,32
37,0.45,0.81125,-3.015,0.7575,32
38,0.45,0.8025,-3.075,0.765,32
39,0.45,0.81875,-3.2,0.8,32
40,0.45,0.82375,-3.16,0.78,32
41,0.45,0.84875,-3.215,0.815,32
42,0.45,0.84125,-3.205,0.805,32
43,0.45,0.8525,-3.225,0.7975,32
44,0.45,0.80875,-3.075,0.7625,32
45,0.45,0.7875,-3.02,0.74,32
46,0.45,0.82875,-3.155,0.785,32
47,0.45,0.825,-3.135,0.7875,32
48,0.45,0.795,-2.99,0.745,32
49,0.45,0.825,-3.055,0.7575,32
50,0.45,0.82,-3.045,0.7725,32
51,0.45,0.82625,-3,0.7475,32
52,0.45,0.825,-3.025,0.7675,32
53,0.45,0.85125,-3.145,0.795,32
54,0.45,0.865,-3.265,0.8225,32
55,0.45,0.8475,-3.16,0.7825,32
56,0.45,0.86,-3.295,0.825,32
57,0.45,0.85,-3.235,0.8075,32
58,0.45,0.84,-3.02,0.76,32
59,0.45,0.8375,-3.025,0.7675,32
60,0.45,0.8625,-3.205,0.8075,32
61,0.45,0.85125,-3.15,0.795,32
62,0.45,0.85875,-3.195,0.8175,32
63,0.45,0.8775,-3.27,0.8225,32
64,0.45,0.86125,-3.24,0.8125,32
65,0.45,0.8525,-3.195,0.795,32
66,0.45,0.8425,-3.255,0.82,32
67,0.45,0.8425,-3.19,0.79,32
68,0.45,0.84625,-3.225,0.8025,32
69,0.45,0.86,-3.38,0.84,32
70,0.45,0.84125,-3.2,0.7975,32
71,0.45,0.83875,-3.16,0.79,32
72,0.45,0.84,-3.2,0.8,32
73,0.45,0.855,-3.26,0.82,32
74,0.45,0.8625,-3.33,0.8275,32
75,0.45,0.8475,-3.23,0.8,32
76,0.45,0.82625,-3.095,0.775,32
77,0.45,0.80625,-2.995,0.755,32
78,0.45,0.81625,-3.13,0.7825,32
79,0.45,0.81125,-3.135,0.785,32
80,0.45,0.80125,-3.05,0.77,32
81,0.45,0.81375,-3.085,0.7725,32
82,0.45,0.80625,-3.11,0.7675,32
83,0.45,0.8,-3.085,0.7775,32
84,0.45,0.80625,-3.08,0.77,32
85,0.45,0.7925,-3.105,0.7725,32
86,0.45,0.80125,-3.045,0.755,32
87,0.45,0.8175,-3.11,0.7575,32
88,0.45,0.83,-3.23,0.805,32
89,0.45,0.81375,-3.19,0.8025,32
90,0.45,0.81375,-3.13,0.79,32
91,0.45,0.78,-3.025,0.76,32
92,0.45,0.775,-2.965,0.74,32
93,0.45,0.7475,-2.83,0.705,32
94,0.45,0.7725,-2.995,0.76,32
95,0.45,0.7925,-3.145,0.7925,32
96,0.45,0.8125,-3.125,0.7825,32
97,0.45,0.8125,-3.205,0.8175,32
98,0.45,0.8025,-3.065,0.7575,32
99,0.45,0.79875,-3.035,0.775,32
100,0.45,0.81125,-3.1,0.7725,32
101,0.45,0.8175,-3.07,0.7625,32
102,0.45,0.825,-3.155,0.8125,32
103,0.45,0.81375,-3.04,0.75,32
104,0.45,0.83375,-3.13,0.79,32
105,0.45,0.77375,-2.96,0.745,32
106,0.45,0.77,-2.965,0.7425,32
107,0.45,0.755,-2.98,0.76,32
108,0.45,0.7625,-2.95,0.7475,32
109,0.45,0.7775,-3.005,0.7525,32
110,0.45,0.76875,-3.04,0.76,32
111,0.45,0.77375,-3.07,0.7725,32
112,0.45,0.755,-2.975,0.7375,32
113,0.45,0.76125,-3.01,0.7475,32
114,0.45,0.7425,-3.07,0.77,32
115,0.45,0.755,-3.1,0.76,32
116,0.45,0.78125,-3.055,0.765,32
117,0.45,0.77375,-3.03,0.76,32
118,0.45,0.7825,-3.05,0.7675,32
119,0.45,0.77625,-3.11,0.7825,32
120,0.45,0.7725,-3.065,0.765,32
121,0.45,0.75125,-2.98,0.755,32
122,0.45,0.74,-2.875,0.715,32
123,0.45,0.71125,-2.92,0.7425,32
124,0.45,0.69875,-2.935,0.7375,32
125,0.45,0.6975,-2.96,0.745,32
126,0.45,0.705,-2.96,0.745,32
127,0.45,0.69375,-2.87,0.72,32
128,0.45,0.7175,-2.99,0.75,32
129,0.45,0.68375,-2.845,0.7375,32
130,0.45,0.67375,-2.815,0.695,32
131,0.45,0.68,-2.87,0.7125,32
132,0.45,0.7225,-3.03,0.7475,32
133,0.45,0.725,-3.08,0.7725,32
134,0.45,0.72,-3.075,0.7725,32
135,0.45,0.73,-3.035,0.75,32
136,0.45,0.71875,-2.96,0.74,32
137,0.45,0.72125,-2.955,0.73,32
138,0.45,0.73625,-3,0.73,32
139,0.45,0.7275,-3.055,0.765,32
140,0.45,0.74375,-3.1,0.7625,32
141,0.45,0.73625,-3.075,0.7675,32
142,0.45,0.745,-3.095,0.78,32
143,0.45,0.735,-3.135,0.785,32
144,0.45,0.74125,-3.105,0.79,32
145,0.45,0.7375,-3.07,0.78,32
146,0.45,0.78,-3.135,0.7825,32
147,0.45,0.765,-3.015,0.7575,32
148,0.45,0.76625,-3.04,0.7575,32
149,0.45,0.79875,-3.115,0.77,32
150,0.45,0.77875,-3.16,0.79,32
151,0.45,0.7775,-3.07,0.775,32
152,0.45,0.715,-2.905,0.7275,32
153,0.45,0.69625,-2.885,0.7225,32
154,0.45,0.67375,-2.8,0.7,32
155,0.45,0.6825,-2.86,0.715,32
156,0.45,0.69,-2.865,0.7175,32
157,0.45,0.69,-2.925,0.7325,32
158,0.45,0.70875,-3.025,0.7575,32
159,0.45,0.77125,-3.105,0.7875,32
160,0.45,0.7625,-3.115,0.7675,32
161,0.45,0.7475,-2.97,0.76,32
162,0.45,0.76125,-3.025,0.755,32
163,0.45,0.76125,-3.025,0.7375,32
164,0.45,0.74875,-3,0.7425,32
165,0.45,0.735,-3.005,0.7475,32
166,0.45,0.72875,-2.93,0.7225,32
167,0.45,0.6875,-2.825,0.705,32
168,0.45,0.6975,-2.87,0.7175,32
169,0.45,0.6775,-2.76,0.6825,32
170,0.45,0.655,-2.795,0.7075,32
171,0.45,0.63375,-2.75,0.69,32
172,0.45,0.63625,-2.745,0.68,32
173,0.45,0.6325,-2.875,0.7125,32
174,0.45,0.63125,-2.87,0.7125,32
175,0.45,0.66625,-2.895,0.7225,32
176,0.45,0.66875,-2.91,0.7325,32
177,0.45,0.695,-3.025,0.7525,32
178,0.45,0.69,-2.98,0.735,32
179,0.45,0.72375,-2.91,0.7125,32
180,0.45,0.71,-2.895,0.73,32
181,0.45,0.7225,-2.97,0.755,32
182,0.45,0.74875,-2.92,0.7425,32
183,0.45,0.78,-3.005,0.755,32
184,0.45,0.78875,-2.905,0.7275,32
185,0.45,0.78625,-3,0.7625,32
186,0.45,0.78125,-2.94,0.73,32
187,0.45,0.7625,-2.925,0.7375,32
188,0.45,0.7775,-3.08,0.775,32
189,0.45,0.81,-3.24,0.815,32
190,0.45,0.77,-3.085,0.765,32
191,0.45,0.80125,-3.13,0.79,32
192,0.45,0.77375,-3.045,0.7475,32
193,0.45,0.77,-3.005,0.745,32
194,0.45,0.75875,-3.07,0.7575,32
195,0.45,0.7925,-3.15,0.7925,32
196,0.45,0.78125,-3.115,0.78,32
197,0.45,0.79125,-3.165,0.8,32
198,0.45,0.775,-2.98,0.7525,32
199,0.45,0.77875,-3.04,0.7625,32
200,0.45,0.7825,-3.045,0.7625,32
