sweeps,beta,magnetisation,energy,G,seed,r_correlation
5,0.2,0.05125,-0.98,1,0,0
6,0.2,0.03875,-0.86,1,0,0
7,0.2,0.095,-0.825,1,0,0
8,0.2,0.04375,-0.87,1,0,0
9,0.2,0.04875,-0.965,1,0,0
10,0.2,0.0375,-0.88,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.665,-2.105,1,0,0
2,0.2,0.36625,-1.24,1,0,0
3,0.2,0.25625,-1.04,1,0,0
4,0.2,0.115,-1.025,1,0,0
5,0.2,0.07625,-0.905,1,0,0
6,0.2,0.02625,-0.735,1,0,0
7,0.2,0.0175,-0.865,1,0,0
8,0.2,0.0125,-0.9,1,0,0
9,0.2,-0.04625,-0.81,1,0,0
10,0.2,0.015,-0.815,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.67375,-2.085,1,0,0
2,0.2,0.36875,-1.21,1,0,0
3,0.2,0.28375,-1.01,1,0,0
4,0.2,0.14625,-0.8,1,0,0
5,0.2,0.0625,-0.765,1,0,0
6,0.2,0.01125,-0.73,1,0,0
7,0.2,-0.0025,-0.885,1,0,0
8,0.2,0.01,-0.87,1,0,0
9,0.2,0.0125,-0.935,1,0,0
10,0.2,0.0525,-0.925,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.66,-1.945,1,0,0
2,0.2,0.4,-1.29,1,0,0
3,0.2,0.23,-1.03,1,0,0
4,0.2,0.1725,-0.96,1,0,0
5,0.2,0.1225,-1.06,1,0,0
6,0.2,0.05375,-0.975,1,0,0
7,0.2,0.06875,-0.935,1,0,0
8,0.2,0.01875,-0.955,1,0,0
9,0.2,-0.03875,-0.8,1,0,0
10,0.2,-0.02375,-0.85,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.65125,-2.075,1,0,0
2,0.2,0.3725,-1.14,1,0,0
3,0.2,0.27,-0.95,1,0,0
4,0.2,0.145,-0.885,1,0,0
5,0.2,0.055,-0.78,1,0,0
6,0.2,0.07375,-0.805,1,0,0
7,0.2,0.02625,-0.745,1,0,0
8,0.2,0.0275,-0.78,1,0,0
9,0.2,0.08125,-0.845,1,0,0
10,0.2,0.05375,-0.93,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.68375,-2.065,1,0,0
2,0.2,0.49875,-1.48,1,0,0
3,0.2,0.32,-1.17,1,0,0
4,0.2,0.19,-0.885,1,0,0
5,0.2,0.08875,-0.71,1,0,0
6,0.2,0.03875,-0.715,1,0,0
7,0.2,0.00125,-0.865,1,0,0
8,0.2,0.00875,-0.87,1,0,0
9,0.2,0.02375,-0.785,1,0,0
10,0.2,0.03375,-0.9,1,0,0
0,0.2,1,-4,1,0,0
1,0.2,0.62625,-1.95,1,0,0
2,0.2,0.345,-1.21,1,0,0
3,0.2,0.2325,-0.925,1,0,0
4,0.2,0.13625,-0.955,1,0,0
5,0.2,0.105,-0.97,1,0,0
6,0.2,0.0275,-0.775,1,0,0
7,0.2,0.01,-0.87,1,0,0
8,0.2,0.0375,-1.01,1,0,0
9,0.2,-0.00625,-0.725,1,0,0
10,0.2,-0.0375,-0.95,1,0,0
