19,0.2,0.0275,-0.925,-0.0225,0,9
19,0.2,0.03,-0.93,0.005,0,9
19,0.2,-0.0025,-0.725,0.0125,0,9
19,0.2,0.02625,-0.81,-0.005,0,9
19,0.2,-0.0325,-0.94,0.0425,0,9
19,0.2,0.0025,-0.875,-0.0425,0,9
19,0.2,0.03125,-1.005,0.04,0,9
19,0.2,-0.1325,-0.885,0.0425,0,9
19,0.2,-0.01875,-0.93,0.0475,0,9
19,0.2,-0.05625,-0.75,0.03,0,9
19,0.2,-0.07,-0.925,-0.0375,0,9
19,0.2,0.01375,-0.97,-0.05,0,9
19,0.2,-0.095,-0.95,0.0325,0,9
19,0.2,0.045,-0.825,-0.0475,0,9
19,0.2,-0.03625,-0.83,0.005,0,9
19,0.2,0.055,-0.785,-0.0275,0,9
19,0.2,-0.03,-0.905,0.0575,0,9
19,0.2,-0.025,-0.885,-0.0125,0,9
19,0.2,0.05375,-0.835,0,0,9
19,0.2,0.095,-0.915,0.0525,0,9
