sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.45,1,-4,1,0,1
1,0.45,0.94,-3.59,0.895,0,1
2,0.45,0.9025,-3.39,0.845,0,1
3,0.45,0.87875,-3.295,0.8225,0,1
4,0.45,0.86125,-3.175,0.79,0,1
5,0.45,0.85875,-3.235,0.795,0,1
6,0.45,0.8475,-3.17,0.78,0,1
7,0.45,0.88,-3.33,0.8325,0,1
8,0.45,0.87875,-3.32,0.84,0,1
9,0.45,0.845,-3.15,0.795,0,1
10,0.45,0.8325,-3.05,0.77,0,1
11,0.45,0.83,-3.085,0.7625,0,1
12,0.45,0.845,-3.155,0.79,0,1
13,0.45,0.84375,-3.215,0.81,0,1
14,0.45,0.84375,-3.15,0.785,0,1
15,0.45,0.82,-3.095,0.7575,0,1
16,0.45,0.8,-3.055,0.7575,0,1
17,0.45,0.79125,-2.95,0.7325,0,1
18,0.45,0.8125,-3.045,0.765,0,1
19,0.45,0.805,-3.06,0.76,0,1
20,0.45,0.80875,-3.09,0.765,0,1
21,0.45,0.80625,-3.135,0.7875,0,1
22,0.45,0.805,-3.155,0.7925,0,1
23,0.45,0.78375,-3.085,0.79,0,1
24,0.45,0.79875,-3.115,0.795,0,1
25,0.45,0.8,-3.13,0.7875,0,1
26,0.45,0.78625,-3.085,0.79,0,1
27,0.45,0.78,-2.995,0.7575,0,1
28,0.45,0.81,-3.11,0.8,0,1
29,0.45,0.8,-3.085,0.785,0,1
30,0.45,0.8225,-3.1,0.7775,0,1
31,0.45,0.81375,-3.085,0.775,0,1
32,0.45,0.81625,-3.01,0.7475,0,1
33,0.45,0.8625,-3.26,0.82,0,1
34,0.45,0.83875,-3.15,0.79,0,1
35,0.45,0.855,-3.23,0.79,0,1
36,0.45,0.85625,-3.205,0.8,0,1
37,0.45,0.86625,-3.235,0.795,0,1
38,0.45,0.87625,-3.275,0.8075,0,1
39,0.45,0.87125,-3.31,0.825,0,1
40,0.45,0.8975,-3.4,0.8525,0,1
41,0.45,0.90875,-3.46,0.8675,0,1
42,0.45,0.88375,-3.355,0.84,0,1
43,0.45,0.8775,-3.275,0.815,0,1
44,0.45,0.89625,-3.38,0.85,0,1
45,0.45,0.87,-3.285,0.8175,0,1
46,0.45,0.87875,-3.235,0.8025,0,1
47,0.45,0.85125,-3.21,0.8,0,1
48,0.45,0.84375,-3.215,0.8075,0,1
49,0.45,0.8075,-3.065,0.7875,0,1
50,0.45,0.8075,-3.055,0.7675,0,1
