sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.45,1,-4,1,0,16
1,0.45,0.96625,-3.755,0.935,0,16
2,0.45,0.93625,-3.535,0.8775,0,16
3,0.45,0.925,-3.505,0.8575,0,16
4,0.45,0.9,-3.4,0.81,0,16
5,0.45,0.86375,-3.22,0.7525,0,16
6,0.45,0.83375,-3.1,0.6975,0,16
7,0.45,0.82625,-3.185,0.675,0,16
8,0.45,0.8425,-3.21,0.7,0,16
9,0.45,0.825,-3.12,0.66,0,16
10,0.45,0.82,-3.055,0.655,0,16
11,0.45,0.81875,-3.07,0.665,0,16
12,0.45,0.82625,-3.18,0.6825,0,16
13,0.45,0.80875,-3.105,0.6525,0,16
14,0.45,0.7875,-3.07,0.6375,0,16
15,0.45,0.7575,-2.975,0.5875,0,16
16,0.45,0.75625,-3.01,0.555,0,16
17,0.45,0.76625,-3.075,0.5675,0,16
18,0.45,0.77125,-3.06,0.57,0,16
19,0.45,0.7925,-3.06,0.625,0,16
20,0.45,0.775,-3.145,0.615,0,16
21,0.45,0.75625,-3.165,0.5725,0,16
22,0.45,0.76375,-3.03,0.5875,0,16
23,0.45,0.76875,-3.085,0.57,0,16
24,0.45,0.77375,-3.135,0.5975,0,16
25,0.45,0.79375,-3.175,0.635,0,16
26,0.45,0.77,-3.07,0.59,0,16
27,0.45,0.76125,-3.065,0.5675,0,16
28,0.45,0.73625,-2.935,0.525,0,16
29,0.45,0.7375,-2.895,0.5525,0,16
30,0.45,0.75375,-2.935,0.5775,0,16
31,0.45,0.7575,-2.995,0.575,0,16
32,0.45,0.7625,-2.985,0.565,0,16
33,0.45,0.7775,-3.05,0.5775,0,16
34,0.45,0.77125,-3.025,0.57,0,16
35,0.45,0.75125,-3.06,0.5525,0,16
36,0.45,0.755,-3.08,0.555,0,16
37,0.45,0.7475,-2.98,0.5625,0,16
38,0.45,0.73375,-2.97,0.5325,0,16
39,0.45,0.68625,-2.875,0.4325,0,16
40,0.45,0.66125,-2.77,0.4125,0,16
41,0.45,0.66625,-2.85,0.43,0,16
42,0.45,0.65375,-2.86,0.4325,0,16
43,0.45,0.62125,-2.775,0.4,0,16
44,0.45,0.6525,-2.905,0.43,0,16
45,0.45,0.65125,-2.885,0.4025,0,16
46,0.45,0.65125,-2.91,0.4075,0,16
47,0.45,0.67,-2.915,0.41,0,16
48,0.45,0.7025,-3.035,0.4475,0,16
49,0.45,0.7,-3.015,0.4475,0,16
50,0.45,0.69125,-3.08,0.4425,0,16
