sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.7,1,-4,1,0,4
1,0.7,0.9925,-3.945,0.985,0,4
2,0.7,0.99375,-3.95,0.9875,0,4
3,0.7,0.9875,-3.91,0.975,0,4
4,0.7,0.995,-3.96,0.99,0,4
5,0.7,0.98625,-3.905,0.9725,0,4
6,0.7,0.99375,-3.95,0.9875,0,4
7,0.7,0.99375,-3.95,0.9875,0,4
8,0.7,0.9925,-3.945,0.985,0,4
9,0.7,0.99125,-3.93,0.9825,0,4
10,0.7,0.9875,-3.915,0.975,0,4
11,0.7,0.99,-3.92,0.98,0,4
12,0.7,0.9925,-3.945,0.985,0,4
13,0.7,0.99,-3.93,0.98,0,4
14,0.7,0.98625,-3.89,0.975,0,4
15,0.7,0.985,-3.885,0.97,0,4
16,0.7,0.99125,-3.935,0.9825,0,4
17,0.7,0.99125,-3.93,0.9825,0,4
18,0.7,0.99375,-3.95,0.9875,0,4
19,0.7,0.98875,-3.92,0.9775,0,4
20,0.7,0.99125,-3.945,0.9825,0,4
21,0.7,0.995,-3.97,0.99,0,4
22,0.7,0.995,-3.96,0.99,0,4
23,0.7,0.99375,-3.955,0.9875,0,4
24,0.7,0.98875,-3.92,0.9775,0,4
25,0.7,0.995,-3.96,0.99,0,4
26,0.7,0.99375,-3.95,0.9875,0,4
27,0.7,0.99,-3.925,0.98,0,4
28,0.7,0.99,-3.925,0.98,0,4
29,0.7,0.9925,-3.94,0.985,0,4
30,0.7,0.99,-3.925,0.98,0,4
31,0.7,0.995,-3.96,0.99,0,4
32,0.7,0.99625,-3.97,0.9925,0,4
33,0.7,0.99625,-3.97,0.9925,0,4
34,0.7,0.995,-3.96,0.99,0,4
35,0.7,0.99625,-3.97,0.9925,0,4
36,0.7,0.99,-3.92,0.9825,0,4
37,0.7,0.99,-3.92,0.98,0,4
38,0.7,0.995,-3.96,0.99,0,4
39,0.7,0.99125,-3.94,0.9825,0,4
40,0.7,0.9975,-3.98,0.995,0,4
41,0.7,0.99375,-3.95,0.9875,0,4
42,0.7,0.995,-3.96,0.99,0,4
43,0.7,0.9875,-3.9,0.975,0,4
44,0.7,0.9875,-3.905,0.9775,0,4
45,0.7,0.985,-3.895,0.97,0,4
46,0.7,0.99,-3.92,0.98,0,4
47,0.7,0.99,-3.925,0.98,0,4
48,0.7,0.98875,-3.92,0.9775,0,4
49,0.7,0.98625,-3.895,0.9725,0,4
50,0.7,0.98875,-3.92,0.9775,0,4
