sweeps,magnetisation,seed
0,-1,99
1,-0.7725,99
2,-0.5875,99
3,-0.42375,99
4,-0.32,99
5,-0.26375,99
6,-0.2625,99
7,-0.1925,99
8,-0.09375,99
9,-0.055,99
10,-0.01125,99
