sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
1,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
2,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
3,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
4,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
5,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
6,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
7,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
8,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
9,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
10,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
11,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
12,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
13,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
14,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
15,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
16,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
17,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
18,0.95,0.9975,-3.98,0.995,12,6.952706722188873e-07,4.4497323022010085e-05
19,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
20,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
21,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
22,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
23,0.95,0.9975,-3.98,0.995,12,6.952706722188873e-07,4.4497323022010085e-05
24,0.95,0.9975,-3.98,0.995,12,6.952706722188873e-07,4.4497323022010085e-05
25,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
26,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
27,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
28,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
29,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
30,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
31,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
32,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
33,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
34,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
35,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
36,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
37,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
38,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
39,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
40,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
41,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
42,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
43,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
44,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
45,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
46,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
47,0.95,1.0,-4.0,1.0,12,6.952706722188873e-07,4.4497323022010085e-05
48,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
49,0.95,0.9975,-3.98,0.995,12,6.952706722188873e-07,4.4497323022010085e-05
50,0.95,0.99875,-3.99,0.9975,12,6.952706722188873e-07,4.4497323022010085e-05
