sweeps,magnetisation,seed
0,-1,80
1,-0.73875,80
2,-0.58625,80
3,-0.4875,80
4,-0.3525,80
5,-0.255,80
6,-0.22,80
7,-0.15375,80
8,-0.1525,80
9,-0.175,80
10,-0.08875,80
