sweeps,beta,magnetisation,energy,G,seed
0,0.4545,1,-4,1,9
1,0.4545,0.95125,-3.645,0.9125,9
2,0.4545,0.92875,-3.51,0.875,9
3,0.4545,0.9275,-3.485,0.875,9
4,0.4545,0.9275,-3.53,0.8875,9
5,0.4545,0.91375,-3.48,0.8725,9
6,0.4545,0.89875,-3.46,0.8675,9
7,0.4545,0.8775,-3.325,0.845,9
8,0.4545,0.8725,-3.21,0.8125,9
9,0.4545,0.8625,-3.235,0.805,9
10,0.4545,0.86625,-3.28,0.815,9
11,0.4545,0.8525,-3.225,0.7975,9
12,0.4545,0.8425,-3.25,0.8075,9
13,0.4545,0.88125,-3.37,0.8475,9
14,0.4545,0.885,-3.365,0.84,9
15,0.4545,0.88625,-3.315,0.8325,9
16,0.4545,0.88125,-3.315,0.8175,9
17,0.4545,0.8825,-3.295,0.8225,9
18,0.4545,0.88,-3.295,0.83,9
19,0.4545,0.87875,-3.31,0.83,9
20,0.4545,0.87,-3.275,0.8125,9
21,0.4545,0.8725,-3.25,0.8075,9
22,0.4545,0.87875,-3.28,0.82,9
23,0.4545,0.86375,-3.295,0.81,9
24,0.4545,0.84875,-3.225,0.7925,9
25,0.4545,0.84,-3.17,0.7975,9
26,0.4545,0.8325,-3.225,0.8025,9
27,0.4545,0.84125,-3.19,0.8025,9
28,0.4545,0.8425,-3.145,0.78,9
29,0.4545,0.84625,-3.18,0.79,9
30,0.4545,0.845,-3.22,0.8025,9
31,0.4545,0.8525,-3.19,0.7925,9
32,0.4545,0.8525,-3.25,0.8125,9
33,0.4545,0.855,-3.27,0.82,9
34,0.4545,0.86125,-3.275,0.8225,9
35,0.4545,0.875,-3.37,0.84,9
36,0.4545,0.86875,-3.305,0.83,9
37,0.4545,0.85125,-3.23,0.8075,9
38,0.4545,0.82375,-3.1,0.78,9
39,0.4545,0.84125,-3.195,0.8075,9
40,0.4545,0.81375,-3.1,0.775,9
41,0.4545,0.81875,-3.115,0.765,9
42,0.4545,0.80875,-3.055,0.7725,9
43,0.4545,0.8425,-3.13,0.7825,9
44,0.4545,0.8175,-3.065,0.7775,9
45,0.4545,0.80125,-3.005,0.7575,9
46,0.4545,0.8125,-3.01,0.7425,9
47,0.4545,0.8525,-3.165,0.8025,9
48,0.4545,0.8525,-3.23,0.82,9
49,0.4545,0.835,-3.225,0.81,9
50,0.4545,0.80875,-3.095,0.7825,9
