sweeps,magnetisation,seed
0,0.0025,24
1,0.04625,24
2,-0.045,24
3,-0.02875,24
4,-0.0375,24
5,-0.02625,24
6,0.03625,24
7,0.1025,24
8,0.0525,24
9,0.03125,24
10,0.04,24
