sweeps,beta,magnetisation,energy,G,seed
0,0.435,1,-4,1,13
1,0.435,0.9475,-3.63,0.905,13
2,0.435,0.9225,-3.5,0.8775,13
3,0.435,0.88125,-3.27,0.8075,13
4,0.435,0.875,-3.17,0.7875,13
5,0.435,0.86375,-3.19,0.7875,13
6,0.435,0.855,-3.22,0.8,13
7,0.435,0.85875,-3.295,0.8275,13
8,0.435,0.82875,-3.095,0.7825,13
9,0.435,0.80625,-3.04,0.7575,13
10,0.435,0.7975,-2.97,0.755,13
11,0.435,0.7925,-2.985,0.7475,13
12,0.435,0.75375,-2.935,0.7475,13
13,0.435,0.775,-2.98,0.7525,13
14,0.435,0.75375,-2.875,0.735,13
15,0.435,0.7625,-2.78,0.7125,13
16,0.435,0.75375,-2.94,0.745,13
17,0.435,0.765,-3.025,0.75,13
18,0.435,0.7875,-3.03,0.7575,13
19,0.435,0.7725,-3.04,0.755,13
20,0.435,0.805,-3.105,0.785,13
21,0.435,0.74875,-2.955,0.745,13
22,0.435,0.7525,-3,0.7425,13
23,0.435,0.705,-2.81,0.6825,13
24,0.435,0.735,-2.925,0.725,13
25,0.435,0.74375,-2.84,0.7125,13
26,0.435,0.75,-2.865,0.7125,13
27,0.435,0.79125,-2.995,0.73,13
28,0.435,0.7775,-2.95,0.74,13
29,0.435,0.76,-2.965,0.74,13
30,0.435,0.75625,-2.895,0.7125,13
31,0.435,0.74,-2.95,0.7375,13
32,0.435,0.7475,-3.005,0.755,13
33,0.435,0.75125,-2.95,0.7175,13
34,0.435,0.735,-2.945,0.7275,13
35,0.435,0.7375,-2.865,0.725,13
36,0.435,0.74625,-2.9,0.7175,13
37,0.435,0.77375,-2.975,0.7525,13
38,0.435,0.7275,-2.885,0.735,13
39,0.435,0.72125,-2.915,0.74,13
40,0.435,0.70625,-2.75,0.6925,13
41,0.435,0.70625,-2.835,0.7175,13
42,0.435,0.71125,-2.83,0.715,13
43,0.435,0.72,-2.765,0.69,13
44,0.435,0.7025,-2.89,0.7275,13
45,0.435,0.71625,-2.83,0.7075,13
46,0.435,0.68625,-2.7,0.6775,13
47,0.435,0.705,-2.75,0.69,13
48,0.435,0.75,-2.87,0.71,13
49,0.435,0.755,-2.93,0.725,13
50,0.435,0.71,-2.815,0.6975,13
