sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,15
1,0.25,0.73875,-4008,15
2,0.25,0.5725,-2928,15
3,0.25,0.43625,-2528,15
4,0.25,0.38,-2256,15
5,0.25,0.2575,-1784,15
6,0.25,0.21,-1592,15
7,0.25,0.24625,-1888,15
8,0.25,0.20125,-1760,15
9,0.25,0.19625,-1976,15
10,0.25,0.16125,-1440,15
11,0.25,0.11375,-1672,15
12,0.25,0.0425,-1616,15
13,0.25,0.0375,-1904,15
14,0.25,0.0325,-1880,15
15,0.25,0.03875,-1632,15
16,0.25,0.04625,-1608,15
17,0.25,0.02625,-1880,15
18,0.25,0.00375,-1680,15
19,0.25,-0.03,-1792,15
20,0.25,-0.055,-1920,15
