sweeps,magnetisation,seed
0,-1,77
1,-0.7475,77
2,-0.56,77
3,-0.44,77
4,-0.38,77
5,-0.29125,77
6,-0.20875,77
7,-0.11375,77
8,-0.07375,77
9,-0.0575,77
10,-0.02375,77
