sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,1
1,0.25,0.77625,-4144,1
2,0.25,0.6325,-3320,1
3,0.25,0.47125,-2616,1
4,0.25,0.335,-2040,1
5,0.25,0.21125,-1912,1
6,0.25,0.085,-1752,1
7,0.25,0.04875,-1816,1
8,0.25,0.0725,-2000,1
9,0.25,0.0525,-2064,1
10,0.25,0.0575,-1992,1
11,0.25,0.01375,-1840,1
12,0.25,0.0425,-1688,1
13,0.25,0.07625,-1752,1
14,0.25,0.0725,-1648,1
15,0.25,0.055,-1600,1
16,0.25,0.04375,-1680,1
17,0.25,0.0675,-1712,1
18,0.25,0.00125,-1600,1
19,0.25,-0.04125,-1848,1
20,0.25,0.07125,-1824,1
21,0.25,0.07625,-1824,1
22,0.25,0.05625,-1800,1
23,0.25,0.07625,-1784,1
24,0.25,0.0225,-1744,1
25,0.25,0.01625,-1536,1
26,0.25,-0.0075,-1776,1
27,0.25,-0.01875,-1864,1
28,0.25,0.02,-1560,1
29,0.25,-0.02875,-1536,1
30,0.25,0.04125,-1616,1
31,0.25,0.0125,-1824,1
32,0.25,0.04875,-1856,1
33,0.25,0.025,-1584,1
34,0.25,-0.04875,-1960,1
35,0.25,0.03125,-1784,1
36,0.25,-0.01625,-1680,1
37,0.25,0.0175,-1648,1
38,0.25,0.00625,-1752,1
39,0.25,0.07375,-1800,1
40,0.25,-0.00875,-1808,1
41,0.25,-0.015,-1896,1
42,0.25,0.0375,-1944,1
43,0.25,-0.0075,-1640,1
44,0.25,-0.055,-1792,1
45,0.25,-0.04,-1704,1
46,0.25,-0.0525,-1600,1
47,0.25,-0.04625,-1752,1
48,0.25,0.0075,-1840,1
49,0.25,0.0075,-1736,1
50,0.25,-0.0125,-1720,1
51,0.25,-0.02625,-1808,1
52,0.25,0.0275,-1824,1
53,0.25,0.0175,-1848,1
54,0.25,-0.05875,-1600,1
55,0.25,-0.005,-1800,1
56,0.25,-0.05375,-1840,1
57,0.25,-0.04125,-1656,1
58,0.25,-0.05125,-1752,1
59,0.25,0.025,-1656,1
60,0.25,0.01625,-1872,1
61,0.25,0.0175,-1792,1
62,0.25,0.01375,-1744,1
63,0.25,-0.01125,-1648,1
64,0.25,-0.06125,-1752,1
65,0.25,-0.0425,-1736,1
66,0.25,-0.02125,-1632,1
67,0.25,-0.02375,-1712,1
68,0.25,-0.0325,-1488,1
69,0.25,0.01375,-1704,1
70,0.25,0.05875,-1744,1
71,0.25,0.08875,-1808,1
72,0.25,0.04125,-1560,1
73,0.25,-0.00125,-1784,1
74,0.25,-0.005,-1664,1
75,0.25,0.0175,-1872,1
76,0.25,0.0325,-1784,1
77,0.25,0.06375,-1808,1
78,0.25,0.04625,-1872,1
79,0.25,0.02125,-1840,1
80,0.25,-0.02375,-1936,1
81,0.25,-0.02,-1856,1
82,0.25,-0.01,-1928,1
83,0.25,-0.03125,-1632,1
84,0.25,-0.0575,-1856,1
85,0.25,-0.0725,-1648,1
86,0.25,-0.045,-1560,1
87,0.25,-0.035,-1816,1
88,0.25,-0.0825,-1920,1
89,0.25,-0.08,-1928,1
90,0.25,-0.02125,-1792,1
91,0.25,0.03375,-1904,1
92,0.25,-0.05125,-1928,1
93,0.25,0.04125,-1688,1
94,0.25,0.00875,-1608,1
95,0.25,0.03125,-2072,1
96,0.25,0.045,-2080,1
97,0.25,0.0425,-1976,1
98,0.25,0.07875,-1720,1
99,0.25,0.1,-1936,1
100,0.25,0.07875,-2064,1
