sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,8
1,0.25,0.74125,-4072,8
2,0.25,0.5425,-3072,8
3,0.25,0.4375,-2656,8
4,0.25,0.3275,-2120,8
5,0.25,0.28375,-2104,8
6,0.25,0.1825,-1944,8
7,0.25,0.17125,-1880,8
8,0.25,0.0675,-1856,8
9,0.25,0.045,-1768,8
10,0.25,0.05625,-1888,8
11,0.25,0.065,-1808,8
12,0.25,0.065,-1720,8
13,0.25,0.08375,-1840,8
14,0.25,0.07,-1736,8
15,0.25,0.105,-1768,8
16,0.25,0.13625,-1616,8
17,0.25,0.13625,-1824,8
18,0.25,0.0925,-1800,8
19,0.25,0.015,-1720,8
20,0.25,0.0275,-1736,8
