sweeps,beta,magnetisation,energy,G,seed
0,0.95,1,-4,1,3
1,0.95,1,-4,1,3
2,0.95,1,-4,1,3
3,0.95,0.99875,-3.99,0.9975,3
4,0.95,0.99875,-3.99,0.9975,3
5,0.95,0.99875,-3.99,0.9975,3
6,0.95,0.9975,-3.98,0.995,3
7,0.95,0.99625,-3.97,0.9925,3
8,0.95,0.99625,-3.97,0.9925,3
9,0.95,0.995,-3.96,0.99,3
10,0.95,0.99125,-3.945,0.985,3
11,0.95,0.9975,-3.985,0.995,3
12,0.95,0.9975,-3.985,0.995,3
13,0.95,0.99875,-3.99,0.9975,3
14,0.95,1,-4,1,3
15,0.95,1,-4,1,3
16,0.95,0.99875,-3.99,0.9975,3
17,0.95,0.9975,-3.98,0.995,3
18,0.95,0.99875,-3.99,0.9975,3
19,0.95,0.99875,-3.99,0.9975,3
20,0.95,1,-4,1,3
21,0.95,1,-4,1,3
22,0.95,1,-4,1,3
23,0.95,1,-4,1,3
24,0.95,0.99875,-3.99,0.9975,3
25,0.95,0.99875,-3.99,0.9975,3
26,0.95,1,-4,1,3
27,0.95,1,-4,1,3
28,0.95,1,-4,1,3
29,0.95,1,-4,1,3
30,0.95,1,-4,1,3
31,0.95,1,-4,1,3
32,0.95,0.99875,-3.99,0.9975,3
33,0.95,1,-4,1,3
34,0.95,0.9975,-3.98,0.995,3
35,0.95,1,-4,1,3
36,0.95,0.9975,-3.98,0.995,3
37,0.95,0.99875,-3.99,0.9975,3
38,0.95,0.99875,-3.99,0.9975,3
39,0.95,0.99875,-3.99,0.9975,3
40,0.95,1,-4,1,3
41,0.95,0.99875,-3.99,0.9975,3
42,0.95,0.99875,-3.99,0.9975,3
43,0.95,0.99875,-3.99,0.9975,3
44,0.95,0.995,-3.96,0.99,3
45,0.95,0.9975,-3.98,0.995,3
46,0.95,1,-4,1,3
47,0.95,0.99875,-3.99,0.9975,3
48,0.95,0.99875,-3.99,0.9975,3
49,0.95,1,-4,1,3
50,0.95,1,-4,1,3
