sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.2,1.0,-4.0,1.0,27,0.0011520114515169546,0.005270196311719215
1,0.2,0.665,-2.085,0.5275,27,0.0011520114515169546,0.005270196311719215
2,0.2,0.405,-1.245,0.3025,27,0.0011520114515169546,0.005270196311719215
3,0.2,0.23125,-0.865,0.205,27,0.0011520114515169546,0.005270196311719215
4,0.2,0.12875,-0.82,0.2125,27,0.0011520114515169546,0.005270196311719215
5,0.2,0.08875,-0.825,0.1975,27,0.0011520114515169546,0.005270196311719215
6,0.2,0.02375,-0.915,0.2275,27,0.0011520114515169546,0.005270196311719215
7,0.2,-0.0125,-0.82,0.2125,27,0.0011520114515169546,0.005270196311719215
8,0.2,-0.02875,-0.81,0.2,27,0.0011520114515169546,0.005270196311719215
9,0.2,-0.02375,-0.685,0.185,27,0.0011520114515169546,0.005270196311719215
10,0.2,0.01,-0.825,0.215,27,0.0011520114515169546,0.005270196311719215
11,0.2,0.005,-0.845,0.21,27,0.0011520114515169546,0.005270196311719215
12,0.2,-0.0125,-0.865,0.2125,27,0.0011520114515169546,0.005270196311719215
13,0.2,-0.01625,-0.825,0.215,27,0.0011520114515169546,0.005270196311719215
14,0.2,-0.00875,-0.91,0.225,27,0.0011520114515169546,0.005270196311719215
15,0.2,0.02375,-0.785,0.1875,27,0.0011520114515169546,0.005270196311719215
16,0.2,0.01625,-0.82,0.2125,27,0.0011520114515169546,0.005270196311719215
17,0.2,0.02375,-0.795,0.165,27,0.0011520114515169546,0.005270196311719215
18,0.2,-0.02875,-0.745,0.195,27,0.0011520114515169546,0.005270196311719215
19,0.2,-0.08125,-0.89,0.215,27,0.0011520114515169546,0.005270196311719215
20,0.2,-0.06875,-0.865,0.2475,27,0.0011520114515169546,0.005270196311719215
21,0.2,-0.03125,-0.805,0.22,27,0.0011520114515169546,0.005270196311719215
22,0.2,-0.0325,-0.89,0.23,27,0.0011520114515169546,0.005270196311719215
23,0.2,-0.0625,-1.04,0.2625,27,0.0011520114515169546,0.005270196311719215
24,0.2,-0.07125,-0.745,0.1575,27,0.0011520114515169546,0.005270196311719215
25,0.2,-0.055,-0.8,0.1975,27,0.0011520114515169546,0.005270196311719215
26,0.2,0.01375,-0.825,0.195,27,0.0011520114515169546,0.005270196311719215
27,0.2,0.035,-0.895,0.2275,27,0.0011520114515169546,0.005270196311719215
28,0.2,-0.03375,-0.925,0.2125,27,0.0011520114515169546,0.005270196311719215
29,0.2,-0.04125,-0.81,0.1725,27,0.0011520114515169546,0.005270196311719215
30,0.2,-0.02875,-0.84,0.205,27,0.0011520114515169546,0.005270196311719215
31,0.2,0.00375,-0.995,0.2775,27,0.0011520114515169546,0.005270196311719215
32,0.2,0.03875,-0.85,0.2275,27,0.0011520114515169546,0.005270196311719215
33,0.2,0.0225,-0.79,0.2,27,0.0011520114515169546,0.005270196311719215
34,0.2,0.04375,-0.885,0.2275,27,0.0011520114515169546,0.005270196311719215
35,0.2,0.015,-0.855,0.2225,27,0.0011520114515169546,0.005270196311719215
36,0.2,-0.01875,-0.83,0.2175,27,0.0011520114515169546,0.005270196311719215
37,0.2,-0.00375,-0.745,0.1625,27,0.0011520114515169546,0.005270196311719215
38,0.2,0.01375,-0.855,0.21,27,0.0011520114515169546,0.005270196311719215
39,0.2,0.01375,-0.81,0.1825,27,0.0011520114515169546,0.005270196311719215
40,0.2,0.02,-0.83,0.2,27,0.0011520114515169546,0.005270196311719215
41,0.2,0.04625,-0.795,0.1775,27,0.0011520114515169546,0.005270196311719215
42,0.2,-0.04625,-0.945,0.22,27,0.0011520114515169546,0.005270196311719215
43,0.2,-0.04,-0.98,0.2425,27,0.0011520114515169546,0.005270196311719215
44,0.2,-0.04125,-0.965,0.2375,27,0.0011520114515169546,0.005270196311719215
45,0.2,-0.05875,-0.87,0.1925,27,0.0011520114515169546,0.005270196311719215
46,0.2,-0.04625,-0.905,0.245,27,0.0011520114515169546,0.005270196311719215
47,0.2,-0.02,-0.885,0.225,27,0.0011520114515169546,0.005270196311719215
48,0.2,-0.04125,-0.925,0.22,27,0.0011520114515169546,0.005270196311719215
49,0.2,-0.04375,-1.04,0.2725,27,0.0011520114515169546,0.005270196311719215
50,0.2,-0.02375,-0.79,0.215,27,0.0011520114515169546,0.005270196311719215
