sweeps,magnetisation,seed
0,-0.0825,3
1,-0.07,3
2,-0.035,3
3,-0.04,3
4,-0.0575,3
5,0.015,3
6,0.00375,3
7,-0.01875,3
8,-0.04125,3
9,-0.07375,3
