sweeps,beta,magnetisation,energy,G,seed
0,1,1,-4,1,35
1,1,1,-4,1,35
2,1,1,-4,1,35
3,1,1,-4,1,35
4,1,1,-4,1,35
5,1,1,-4,1,35
6,1,1,-4,1,35
7,1,0.99875,-3.99,0.9975,35
8,1,0.99875,-3.99,0.9975,35
9,1,0.9975,-3.98,0.995,35
10,1,0.9975,-3.985,0.9975,35
11,1,0.9975,-3.985,0.9975,35
12,1,1,-4,1,35
13,1,1,-4,1,35
14,1,1,-4,1,35
15,1,0.99875,-3.99,0.9975,35
16,1,1,-4,1,35
17,1,1,-4,1,35
18,1,1,-4,1,35
19,1,0.99875,-3.99,0.9975,35
20,1,1,-4,1,35
21,1,0.99875,-3.99,0.9975,35
22,1,1,-4,1,35
23,1,1,-4,1,35
24,1,0.9975,-3.98,0.995,35
25,1,1,-4,1,35
26,1,1,-4,1,35
27,1,1,-4,1,35
28,1,1,-4,1,35
29,1,1,-4,1,35
30,1,1,-4,1,35
31,1,1,-4,1,35
32,1,1,-4,1,35
33,1,1,-4,1,35
34,1,1,-4,1,35
35,1,1,-4,1,35
36,1,1,-4,1,35
37,1,1,-4,1,35
38,1,1,-4,1,35
39,1,1,-4,1,35
40,1,0.99875,-3.99,0.9975,35
41,1,0.99875,-3.99,0.9975,35
42,1,0.99875,-3.99,0.9975,35
43,1,1,-4,1,35
44,1,1,-4,1,35
45,1,1,-4,1,35
46,1,1,-4,1,35
47,1,0.99875,-3.99,0.9975,35
48,1,0.99875,-3.99,0.9975,35
49,1,1,-4,1,35
50,1,1,-4,1,35
