sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,14
1,0.25,0.725,-3824,14
2,0.25,0.5525,-2968,14
3,0.25,0.37625,-2248,14
4,0.25,0.265,-1976,14
5,0.25,0.19625,-1848,14
6,0.25,0.12625,-1792,14
7,0.25,0.10375,-1736,14
8,0.25,0.04,-1608,14
9,0.25,0.04875,-1648,14
10,0.25,0.04875,-1672,14
11,0.25,0.00375,-1952,14
12,0.25,0.03125,-1664,14
13,0.25,0.03875,-1672,14
14,0.25,0.035,-1632,14
15,0.25,0.04125,-1744,14
16,0.25,0.01,-1920,14
17,0.25,0.04375,-1976,14
18,0.25,0.06875,-1848,14
19,0.25,0.0225,-1808,14
20,0.25,0.02375,-1712,14
