sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.45,1.0,-4.0,1.0,39,0.0016711815883402735,0.016755948839976206
1,0.45,0.9575,-3.725,0.9325,39,0.0016711815883402735,0.016755948839976206
2,0.45,0.9125,-3.49,0.8775,39,0.0016711815883402735,0.016755948839976206
3,0.45,0.91625,-3.46,0.86,39,0.0016711815883402735,0.016755948839976206
4,0.45,0.91625,-3.48,0.8725,39,0.0016711815883402735,0.016755948839976206
5,0.45,0.8975,-3.395,0.845,39,0.0016711815883402735,0.016755948839976206
6,0.45,0.86875,-3.255,0.8175,39,0.0016711815883402735,0.016755948839976206
7,0.45,0.86875,-3.275,0.815,39,0.0016711815883402735,0.016755948839976206
8,0.45,0.84125,-3.1,0.7775,39,0.0016711815883402735,0.016755948839976206
9,0.45,0.86,-3.245,0.815,39,0.0016711815883402735,0.016755948839976206
10,0.45,0.85,-3.2,0.8075,39,0.0016711815883402735,0.016755948839976206
11,0.45,0.83375,-3.12,0.7725,39,0.0016711815883402735,0.016755948839976206
12,0.45,0.83125,-3.195,0.7975,39,0.0016711815883402735,0.016755948839976206
13,0.45,0.81125,-3.14,0.785,39,0.0016711815883402735,0.016755948839976206
14,0.45,0.83125,-3.135,0.785,39,0.0016711815883402735,0.016755948839976206
15,0.45,0.8175,-3.125,0.78,39,0.0016711815883402735,0.016755948839976206
16,0.45,0.81625,-3.11,0.78,39,0.0016711815883402735,0.016755948839976206
17,0.45,0.79,-3.14,0.785,39,0.0016711815883402735,0.016755948839976206
18,0.45,0.79375,-3.0,0.745,39,0.0016711815883402735,0.016755948839976206
19,0.45,0.77625,-2.99,0.75,39,0.0016711815883402735,0.016755948839976206
20,0.45,0.77875,-2.935,0.75,39,0.0016711815883402735,0.016755948839976206
21,0.45,0.73375,-2.785,0.705,39,0.0016711815883402735,0.016755948839976206
22,0.45,0.73,-2.855,0.7175,39,0.0016711815883402735,0.016755948839976206
23,0.45,0.7475,-2.84,0.7125,39,0.0016711815883402735,0.016755948839976206
24,0.45,0.7475,-2.84,0.7175,39,0.0016711815883402735,0.016755948839976206
25,0.45,0.74875,-2.915,0.7325,39,0.0016711815883402735,0.016755948839976206
26,0.45,0.75875,-3.005,0.7625,39,0.0016711815883402735,0.016755948839976206
27,0.45,0.7525,-3.025,0.7575,39,0.0016711815883402735,0.016755948839976206
28,0.45,0.7675,-2.95,0.735,39,0.0016711815883402735,0.016755948839976206
29,0.45,0.79375,-3.035,0.76,39,0.0016711815883402735,0.016755948839976206
30,0.45,0.77875,-2.975,0.75,39,0.0016711815883402735,0.016755948839976206
31,0.45,0.78875,-3.07,0.76,39,0.0016711815883402735,0.016755948839976206
32,0.45,0.79125,-3.06,0.7625,39,0.0016711815883402735,0.016755948839976206
33,0.45,0.7875,-3.02,0.745,39,0.0016711815883402735,0.016755948839976206
34,0.45,0.82375,-3.15,0.7725,39,0.0016711815883402735,0.016755948839976206
35,0.45,0.8175,-3.145,0.7875,39,0.0016711815883402735,0.016755948839976206
36,0.45,0.81125,-3.185,0.795,39,0.0016711815883402735,0.016755948839976206
37,0.45,0.81125,-3.21,0.8125,39,0.0016711815883402735,0.016755948839976206
38,0.45,0.81875,-3.08,0.7675,39,0.0016711815883402735,0.016755948839976206
39,0.45,0.8575,-3.245,0.8125,39,0.0016711815883402735,0.016755948839976206
40,0.45,0.85125,-3.2,0.79,39,0.0016711815883402735,0.016755948839976206
41,0.45,0.85875,-3.205,0.795,39,0.0016711815883402735,0.016755948839976206
42,0.45,0.86,-3.2,0.8025,39,0.0016711815883402735,0.016755948839976206
43,0.45,0.82375,-3.08,0.77,39,0.0016711815883402735,0.016755948839976206
44,0.45,0.84625,-3.16,0.8,39,0.0016711815883402735,0.016755948839976206
45,0.45,0.845,-3.13,0.785,39,0.0016711815883402735,0.016755948839976206
46,0.45,0.87,-3.245,0.805,39,0.0016711815883402735,0.016755948839976206
47,0.45,0.8725,-3.33,0.8325,39,0.0016711815883402735,0.016755948839976206
48,0.45,0.86125,-3.275,0.8225,39,0.0016711815883402735,0.016755948839976206
49,0.45,0.86375,-3.22,0.81,39,0.0016711815883402735,0.016755948839976206
50,0.45,0.87,-3.245,0.8125,39,0.0016711815883402735,0.016755948839976206
