sweeps,magnetisation,seed
0,-1,82
1,-0.76875,82
2,-0.5775,82
3,-0.41375,82
4,-0.30375,82
5,-0.22125,82
6,-0.155,82
7,-0.12125,82
8,-0.065,82
9,-0.01875,82
10,-0.06375,82
