sweeps,magnetisation,seed
0,-1,89
1,-0.7625,89
2,-0.57,89
3,-0.37875,89
4,-0.18625,89
5,-0.1075,89
6,-0.0625,89
7,-0.0475,89
8,-0.045,89
9,-0.00625,89
10,0.07,89
