sweeps,beta,magnetisation,energy,G,seed
0,0.37037,1,-4,1,14
1,0.37037,0.8925,-3.255,0.7975,14
2,0.37037,0.8375,-3.03,0.755,14
3,0.37037,0.765,-2.75,0.6925,14
4,0.37037,0.72375,-2.56,0.6325,14
5,0.37037,0.6825,-2.5,0.635,14
6,0.37037,0.66875,-2.465,0.5975,14
7,0.37037,0.61875,-2.345,0.5925,14
8,0.37037,0.61375,-2.455,0.63,14
9,0.37037,0.6075,-2.35,0.5825,14
10,0.37037,0.61125,-2.36,0.58,14
11,0.37037,0.51,-2.165,0.535,14
12,0.37037,0.53375,-2.195,0.5375,14
13,0.37037,0.51,-2.25,0.56,14
14,0.37037,0.475,-2.04,0.5125,14
15,0.37037,0.42375,-1.915,0.475,14
16,0.37037,0.40875,-1.905,0.485,14
17,0.37037,0.45,-2.015,0.4975,14
18,0.37037,0.46125,-2.08,0.5175,14
19,0.37037,0.4375,-2.095,0.5275,14
20,0.37037,0.44375,-2.145,0.55,14
21,0.37037,0.43875,-2.24,0.5625,14
22,0.37037,0.38375,-2.045,0.5175,14
23,0.37037,0.36125,-2.06,0.53,14
24,0.37037,0.36875,-2.095,0.51,14
25,0.37037,0.32125,-2,0.495,14
26,0.37037,0.3375,-2.06,0.5,14
27,0.37037,0.28125,-1.93,0.4875,14
28,0.37037,0.2575,-1.89,0.4875,14
29,0.37037,0.26625,-1.915,0.4875,14
30,0.37037,0.21125,-1.9,0.4975,14
31,0.37037,0.1675,-1.825,0.4625,14
32,0.37037,0.19,-1.97,0.48,14
33,0.37037,0.13,-2,0.515,14
34,0.37037,0.1625,-2.015,0.495,14
35,0.37037,0.12375,-1.89,0.465,14
36,0.37037,0.17,-1.91,0.4675,14
37,0.37037,0.1375,-1.91,0.49,14
38,0.37037,0.105,-1.86,0.4725,14
39,0.37037,0.13125,-1.9,0.455,14
40,0.37037,0.12125,-1.785,0.4375,14
41,0.37037,0.07,-1.775,0.4325,14
42,0.37037,0.01625,-1.71,0.455,14
43,0.37037,-0.0225,-1.75,0.4375,14
44,0.37037,0.0175,-1.84,0.4775,14
45,0.37037,-0.01875,-1.72,0.445,14
46,0.37037,0.01,-1.885,0.48,14
47,0.37037,0.02625,-1.82,0.4675,14
48,0.37037,0.04625,-1.9,0.47,14
49,0.37037,0.07125,-1.855,0.465,14
50,0.37037,0.11,-1.905,0.465,14
