sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.475,1.0,-4.0,1.0,15,0.00023977171326591354,0.005099940511600237
1,0.475,0.9675,-3.77,0.94,15,0.00023977171326591354,0.005099940511600237
2,0.475,0.94625,-3.6,0.905,15,0.00023977171326591354,0.005099940511600237
3,0.475,0.93375,-3.535,0.8875,15,0.00023977171326591354,0.005099940511600237
4,0.475,0.93,-3.565,0.885,15,0.00023977171326591354,0.005099940511600237
5,0.475,0.92,-3.555,0.88,15,0.00023977171326591354,0.005099940511600237
6,0.475,0.89875,-3.475,0.8625,15,0.00023977171326591354,0.005099940511600237
7,0.475,0.885,-3.425,0.8475,15,0.00023977171326591354,0.005099940511600237
8,0.475,0.845,-3.235,0.8125,15,0.00023977171326591354,0.005099940511600237
9,0.475,0.845,-3.24,0.8,15,0.00023977171326591354,0.005099940511600237
10,0.475,0.86875,-3.285,0.81,15,0.00023977171326591354,0.005099940511600237
11,0.475,0.84625,-3.175,0.795,15,0.00023977171326591354,0.005099940511600237
12,0.475,0.83375,-3.185,0.7925,15,0.00023977171326591354,0.005099940511600237
13,0.475,0.82875,-3.175,0.79,15,0.00023977171326591354,0.005099940511600237
14,0.475,0.84625,-3.33,0.825,15,0.00023977171326591354,0.005099940511600237
15,0.475,0.835,-3.22,0.8025,15,0.00023977171326591354,0.005099940511600237
16,0.475,0.84125,-3.275,0.815,15,0.00023977171326591354,0.005099940511600237
17,0.475,0.86875,-3.435,0.855,15,0.00023977171326591354,0.005099940511600237
18,0.475,0.86375,-3.295,0.8225,15,0.00023977171326591354,0.005099940511600237
19,0.475,0.835,-3.14,0.795,15,0.00023977171326591354,0.005099940511600237
20,0.475,0.83375,-3.195,0.805,15,0.00023977171326591354,0.005099940511600237
21,0.475,0.84625,-3.245,0.815,15,0.00023977171326591354,0.005099940511600237
22,0.475,0.85625,-3.28,0.82,15,0.00023977171326591354,0.005099940511600237
23,0.475,0.86875,-3.28,0.8125,15,0.00023977171326591354,0.005099940511600237
24,0.475,0.845,-3.2,0.7975,15,0.00023977171326591354,0.005099940511600237
25,0.475,0.87,-3.295,0.825,15,0.00023977171326591354,0.005099940511600237
26,0.475,0.8625,-3.245,0.8125,15,0.00023977171326591354,0.005099940511600237
27,0.475,0.86625,-3.27,0.815,15,0.00023977171326591354,0.005099940511600237
28,0.475,0.87125,-3.295,0.8225,15,0.00023977171326591354,0.005099940511600237
29,0.475,0.88625,-3.405,0.85,15,0.00023977171326591354,0.005099940511600237
30,0.475,0.8675,-3.345,0.835,15,0.00023977171326591354,0.005099940511600237
31,0.475,0.85625,-3.335,0.8375,15,0.00023977171326591354,0.005099940511600237
32,0.475,0.84625,-3.255,0.8175,15,0.00023977171326591354,0.005099940511600237
33,0.475,0.87375,-3.41,0.85,15,0.00023977171326591354,0.005099940511600237
34,0.475,0.86875,-3.32,0.8275,15,0.00023977171326591354,0.005099940511600237
35,0.475,0.865,-3.265,0.81,15,0.00023977171326591354,0.005099940511600237
36,0.475,0.8725,-3.335,0.8225,15,0.00023977171326591354,0.005099940511600237
37,0.475,0.84875,-3.2,0.8,15,0.00023977171326591354,0.005099940511600237
38,0.475,0.875,-3.265,0.8225,15,0.00023977171326591354,0.005099940511600237
39,0.475,0.875,-3.34,0.8425,15,0.00023977171326591354,0.005099940511600237
40,0.475,0.8625,-3.26,0.81,15,0.00023977171326591354,0.005099940511600237
41,0.475,0.85875,-3.255,0.8125,15,0.00023977171326591354,0.005099940511600237
42,0.475,0.8725,-3.345,0.8275,15,0.00023977171326591354,0.005099940511600237
43,0.475,0.86875,-3.325,0.8275,15,0.00023977171326591354,0.005099940511600237
44,0.475,0.875,-3.32,0.8275,15,0.00023977171326591354,0.005099940511600237
45,0.475,0.88875,-3.42,0.8575,15,0.00023977171326591354,0.005099940511600237
46,0.475,0.8875,-3.445,0.87,15,0.00023977171326591354,0.005099940511600237
47,0.475,0.8625,-3.285,0.8225,15,0.00023977171326591354,0.005099940511600237
48,0.475,0.88,-3.32,0.825,15,0.00023977171326591354,0.005099940511600237
49,0.475,0.87375,-3.33,0.8275,15,0.00023977171326591354,0.005099940511600237
50,0.475,0.86375,-3.28,0.82,15,0.00023977171326591354,0.005099940511600237
