sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.4,1.0,-4.0,1.0,12,0.002424762046400952,0.008594973230220111
1,0.4,0.93125,-3.535,0.8875,12,0.002424762046400952,0.008594973230220111
2,0.4,0.89875,-3.355,0.8375,12,0.002424762046400952,0.008594973230220111
3,0.4,0.8525,-3.095,0.765,12,0.002424762046400952,0.008594973230220111
4,0.4,0.815,-3.035,0.7525,12,0.002424762046400952,0.008594973230220111
5,0.4,0.7475,-2.805,0.6875,12,0.002424762046400952,0.008594973230220111
6,0.4,0.75,-2.795,0.69,12,0.002424762046400952,0.008594973230220111
7,0.4,0.7175,-2.76,0.685,12,0.002424762046400952,0.008594973230220111
8,0.4,0.70125,-2.735,0.685,12,0.002424762046400952,0.008594973230220111
9,0.4,0.6725,-2.55,0.6325,12,0.002424762046400952,0.008594973230220111
10,0.4,0.65,-2.555,0.63,12,0.002424762046400952,0.008594973230220111
11,0.4,0.68125,-2.605,0.6375,12,0.002424762046400952,0.008594973230220111
12,0.4,0.6075,-2.485,0.61,12,0.002424762046400952,0.008594973230220111
13,0.4,0.56625,-2.46,0.6225,12,0.002424762046400952,0.008594973230220111
14,0.4,0.56625,-2.325,0.585,12,0.002424762046400952,0.008594973230220111
15,0.4,0.56875,-2.34,0.5725,12,0.002424762046400952,0.008594973230220111
16,0.4,0.57625,-2.415,0.5975,12,0.002424762046400952,0.008594973230220111
17,0.4,0.5525,-2.37,0.6025,12,0.002424762046400952,0.008594973230220111
18,0.4,0.51625,-2.32,0.59,12,0.002424762046400952,0.008594973230220111
19,0.4,0.53,-2.375,0.62,12,0.002424762046400952,0.008594973230220111
20,0.4,0.53375,-2.405,0.6125,12,0.002424762046400952,0.008594973230220111
21,0.4,0.535,-2.27,0.575,12,0.002424762046400952,0.008594973230220111
22,0.4,0.545,-2.295,0.59,12,0.002424762046400952,0.008594973230220111
23,0.4,0.5475,-2.39,0.61,12,0.002424762046400952,0.008594973230220111
24,0.4,0.56875,-2.34,0.585,12,0.002424762046400952,0.008594973230220111
25,0.4,0.5675,-2.37,0.585,12,0.002424762046400952,0.008594973230220111
26,0.4,0.57375,-2.275,0.57,12,0.002424762046400952,0.008594973230220111
27,0.4,0.555,-2.34,0.57,12,0.002424762046400952,0.008594973230220111
28,0.4,0.57875,-2.375,0.5875,12,0.002424762046400952,0.008594973230220111
29,0.4,0.56375,-2.435,0.6,12,0.002424762046400952,0.008594973230220111
30,0.4,0.55375,-2.47,0.62,12,0.002424762046400952,0.008594973230220111
31,0.4,0.55125,-2.355,0.5975,12,0.002424762046400952,0.008594973230220111
32,0.4,0.55875,-2.415,0.6175,12,0.002424762046400952,0.008594973230220111
33,0.4,0.575,-2.43,0.61,12,0.002424762046400952,0.008594973230220111
34,0.4,0.54125,-2.345,0.5875,12,0.002424762046400952,0.008594973230220111
35,0.4,0.5375,-2.305,0.5875,12,0.002424762046400952,0.008594973230220111
36,0.4,0.5475,-2.485,0.61,12,0.002424762046400952,0.008594973230220111
37,0.4,0.58375,-2.595,0.6475,12,0.002424762046400952,0.008594973230220111
38,0.4,0.5425,-2.545,0.6325,12,0.002424762046400952,0.008594973230220111
39,0.4,0.53375,-2.525,0.62,12,0.002424762046400952,0.008594973230220111
40,0.4,0.525,-2.43,0.5975,12,0.002424762046400952,0.008594973230220111
41,0.4,0.5675,-2.525,0.625,12,0.002424762046400952,0.008594973230220111
42,0.4,0.5225,-2.48,0.61,12,0.002424762046400952,0.008594973230220111
43,0.4,0.5425,-2.52,0.63,12,0.002424762046400952,0.008594973230220111
44,0.4,0.5,-2.34,0.58,12,0.002424762046400952,0.008594973230220111
45,0.4,0.52,-2.34,0.5725,12,0.002424762046400952,0.008594973230220111
46,0.4,0.46125,-2.285,0.555,12,0.002424762046400952,0.008594973230220111
47,0.4,0.4075,-2.3,0.5725,12,0.002424762046400952,0.008594973230220111
48,0.4,0.45625,-2.26,0.5775,12,0.002424762046400952,0.008594973230220111
49,0.4,0.46375,-2.315,0.6125,12,0.002424762046400952,0.008594973230220111
50,0.4,0.43875,-2.31,0.5925,12,0.002424762046400952,0.008594973230220111
